created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Sep 24 03:59:53 +0000 2023;1705794155526676702;"@morninghae_ Gue kasian kuping dia juga mbak2 translator itu harus punya asuransi kesehatan telinga kalo jadi translator SUJU dan asuransi kesehatan jiwa hahahahahahah   Emang kudu satu2 ya translator mereka 😅😅😅";0;0;0;0;in;79126299;1705784589426528300;heidy_alkaff;https://twitter.com/heidy_alkaff/status/1705794155526676702
Sun Sep 24 03:53:01 +0000 2023;1705792427209240785;"@worksfess Kerjaan enak, deket suami &amp  keluarga, gaji di atas umr setempat, ada asuransi kesehatan dr kantor, atasan baek dan selow Kalo rekan kerja? ngga terlalu mikirin sih, niat kerja cari uang, yg lain2 abaikan";0;0;0;0;in;1305656900436897792;1705764902638637526;kucingtertidur;https://twitter.com/kucingtertidur/status/1705792427209240785
Sun Sep 24 03:32:30 +0000 2023;1705787263639322979;"@m00nwarrior Yang penting dapat umr plus bonus dan asuransi kesehatan";0;1;0;0;in;271273146;1705588574064988328;Bukan_sp_sp;https://twitter.com/Bukan_sp_sp/status/1705787263639322979
Sun Sep 24 01:30:32 +0000 2023;1705756571756908790;"@Safa_Andriana Bacakan tanda bintang (*)  Syarat dan ketentuan berlaku  Spt 1.Wajib pnya asuransi kesehatan dan jiwa serta warisan trsembunyi dr istri dan anak sah sbesar x milyar.  2.Kondisi kesehatan kanker stadium 4 atau jantung 2 ring 😎😎";0;0;0;0;in;147534865;1705584263364776423;TwiteX2010;https://twitter.com/TwiteX2010/status/1705756571756908790
Sat Sep 23 17:39:04 +0000 2023;1705637921087434847;"@worksfess Buatin akun dana pensiun buat orang tua aja nder kalo ortumu gamau dikasih, atau bisa juga beliin asuransi kesehatan kalo belum punya, atau buka rekening untuk liburan keluarga. Ngasih orang tua itu ga harus, tapi kalo mau ngebahagiain orang tua juga baik🫶";0;0;0;0;in;2259784158;1705499230276862366;PupuJuniar;https://twitter.com/PupuJuniar/status/1705637921087434847
Sat Sep 23 15:33:48 +0000 2023;1705606399743635736;"Tenang, ada kok asuransi yang tak wajibkan kamu jalani pemeriksaan kesehatan. Yuk, kita bahas!  https://t.co/95GX9zrmhL";0;0;0;0;in;82546208;1705606399743635736;EpieTea;https://twitter.com/EpieTea/status/1705606399743635736
Sat Sep 23 15:12:25 +0000 2023;1705601015276564705;"@acmilan7779 @Aiek_Speechless Sekarang juga ada BPJS mas.. Kalau darurat, pasti ditangani..   Dan sorry sekali lagi mas..   Perjuangan untuk kesehatan adalah privilege buat mereka yang kaya mas. Atau punya asuransi.   Perjuangan yang miskin adalah untuk merelakan.";0;1;0;0;in;1565296345627660288;1703975979730026730;VictorPutra22;https://twitter.com/VictorPutra22/status/1705601015276564705
Sat Sep 23 14:30:06 +0000 2023;1705590366424985609;"Apakah generasi milenial membutuhkan asuransi kesehatan?   https://t.co/QcJf7hj73a";0;0;0;0;in;356623667;1705590366424985609;juniantopang;https://twitter.com/juniantopang/status/1705590366424985609
Sat Sep 23 14:29:42 +0000 2023;1705590266407931944;"@arianditacindo Soalnya semenjak nikah sadar diri ndo klo kebutuhan banyak banget wkwkwk, Ya rumah, kendaraan, jalan2, makan, sekolah aja sd-kuliah, nabung, invest, kesehatan. Aku aja klo ga dpt asuransi kesehatan dr kantor kayanya bakalan keteteran bgt 🥺";0;0;2;0;in;90057397;1705555118517846205;zZZZzzzraawr;https://twitter.com/zZZZzzzraawr/status/1705590266407931944
Sat Sep 23 11:53:21 +0000 2023;1705550918467702863;"Selain itu tenaga kesehatan di Kebumen juga kurang cocok di aku. Aku kalau mau konsul serius ya ke Purwokerto karena di sana dokternya lebih enak-enak. Di sini meskipun pakai bpjs, alhamdulillah selalu dapat perlakuan baik. Dan dapat asuransi swasta jg dari kantor 😘";0;1;0;0;in;82834418;1705549191848787999;deariiissti;https://twitter.com/deariiissti/status/1705550918467702863
Sat Sep 23 08:58:08 +0000 2023;1705506824139743355;"@banjarbase Ikam buhan asuransi kesehatan lo";0;0;0;0;in;1629374335902433280;1705475877902176712;Alfathz01;https://twitter.com/Alfathz01/status/1705506824139743355
Sat Sep 23 07:08:06 +0000 2023;1705479135777497530;"Beasiswa Korea GKS 2024 Jenjang S1 dan Diploma Full (Ditanggung biaya kuliah, biaya kursus, tunjangan hidup bulanan, asuransi kesehatan, tiket PP, tunjangan kedatangan dan kepulangan, dll)  SIMAK LENGKAPNYA » https://t.co/TlLhSKaWiX https://t.co/fnd1nOVylb";0;0;0;1;in;42007719;1705479135777497530;beasiswapasca;https://twitter.com/beasiswapasca/status/1705479135777497530
Sat Sep 23 06:49:25 +0000 2023;1705474431764812205;"@CNNIndonesia Subsidi kendaraan listrik bukan kebutuhan rakyat saat ini.rakyat butuh pupuk murah.pakan ternak murah.hasil jual perkebunan bisa terjual harga tinggi.rakyat btuh sekolh &amp  kuliah yg terjangkau.rakyat butuh jaminan kesehatan itu gratis bukan sperti asuransi telat bayar g bisa klaim";0;0;0;0;in;1545114043438223360;1704872971108806855;firman42636252;https://twitter.com/firman42636252/status/1705474431764812205
Sat Sep 23 06:13:00 +0000 2023;1705465268418531727;"Siapa yang punya pengalaman yang sama? Kenapa harga premi kamu bisa beda padahal beli asuransi yang sama? Coba langsung tonton videonya yuk! Jangan lupa saved yaa  #asuransikesehatan #asuransijiwa #asuransitanpabeban #tiktok #explorepage #explore #viral #lifeat #lifeatjagadiri https://t.co/YM20dXpsu6";0;1;0;1;in;2903181218;1705465268418531727;JAGADIRI_ID;https://twitter.com/JAGADIRI_ID/status/1705465268418531727
Sat Sep 23 04:57:57 +0000 2023;1705446380066738261;"@fitrmels hallo kak aku dari allianz, kalau mau konsultasi dan tanya2 mengenai asuransi kesehatan untuk orang tuanya boleh DM atau klik link WA di bio ya kak :) thanks kak";0;0;0;0;in;1629031878538977280;1705442392974008666;coupleasuransi;https://twitter.com/coupleasuransi/status/1705446380066738261
Sat Sep 23 04:42:06 +0000 2023;1705442392974008666;"mau bikin asuransi kesehatan buat ortu bagusnya apa ya :(";0;4;0;0;in;1045548613223440384;1705442392974008666;fitrmels;https://twitter.com/fitrmels/status/1705442392974008666
Sat Sep 23 04:15:10 +0000 2023;1705435612398969210;"Memiliki asuransi merupakan salah satu langkah bijak yang dapat kita ambil untuk melindungi diri dan masa depan keluarga tercinta.  Yuk miliki perlindungan jiwa dan kesehatan sedini mungkin!  #EquityLifeIndonesia #AsuransiGakPakeRibet #PastiEquity https://t.co/P0fp5ZBZOz";0;0;0;0;in;230088555;1705435612398969210;EquityLifeInd;https://twitter.com/EquityLifeInd/status/1705435612398969210
Sat Sep 23 04:07:31 +0000 2023;1705433689029837039;"@tanyarlfes Menurut gua ya, menikahlah kalau tabunganmu bisa sekolahkan anakmu sampai sd aja dulu, nanti kan pasti bertambah lagi. Itu udah termasuk semua tetek bengeknya dan biaya kesehatan. Kalau mau childfree berarti tabungan harus dialihkan ke kesehatan, asuransi jiwa, invest dkk";0;0;0;6;in;1481196283394420743;1705428448293073002;thisismy3rdlife;https://twitter.com/thisismy3rdlife/status/1705433689029837039
Sat Sep 23 02:10:24 +0000 2023;1705404213545877549;"Hadir dalam pertemuan tersebut, Director ILO Takasaki Shinichi dan JICA Labor Policy Advisor, Koh Yamada. Pertemuan tersebut juga membahas peluang perluasan kerja sama antar lembaga dengan para penyelenggara asuransi kesehatan publik di Jepang.";0;1;0;0;in;1522337929;1705404211750683016;BPJSKesehatanRI;https://twitter.com/BPJSKesehatanRI/status/1705404213545877549
Sat Sep 23 01:18:19 +0000 2023;1705391109445505070;"@convomf Yg penting gak cheating sih gak papa. Tp programer butuh asuransi kesehatan kali karena ngadep laptop mulu..";0;0;0;0;in;973936095321759744;1705226553863610785;AqulilaDarksoul;https://twitter.com/AqulilaDarksoul/status/1705391109445505070
Sat Sep 23 01:07:02 +0000 2023;1705388266646827236;"@tanyarlfes Pastikan Asuransi kesehatan &amp  BPjS anda masih aktif";0;0;0;0;in;1284722164394913794;1705375019852034168;ivanasilo1;https://twitter.com/ivanasilo1/status/1705388266646827236
Fri Sep 22 23:53:18 +0000 2023;1705369712627241299;"Absurd! Penumpang diprofiling. Bukan asuransi kesehatan tapi ingin tahu lebih dalam soal usia dan riwayat perjalanan.";0;2;1;0;in;1252247274006044674;1705369712627241299;muldirun;https://twitter.com/muldirun/status/1705369712627241299
Fri Sep 22 23:33:39 +0000 2023;1705364766741664065;"@lutfiansori15 Menurutku sih asuransi bukan program investasi duit. Tp investasi kesehatan/jiwa. Yg selalu "terlihat" menarik, marketingnya menawarkan bentuk investasi duit, nasabahe berharap tinggi. Ndilalah yg didapet ga sesuai paparan marketingnya";0;1;0;2;in;746027037572227072;1705250645266276611;hayder_imron;https://twitter.com/hayder_imron/status/1705364766741664065
Fri Sep 22 16:36:28 +0000 2023;1705259782381150242;"@hannajoe20 @kurawa @DitjenPajakRI @prastow sekedar saran sih ya mbak, kalo mau pilih &amp  ambil suatu produk asuransi, entah itu asuransi jiwa atau asuransi kesehatan mending pelajari dulu scr seksama, dan kalo bs mending cari agent yg memang kenal dekat, temen misalnya atau saudara";0;0;0;0;in;1626089917255405568;1705151520961085457;al1eeff;https://twitter.com/al1eeff/status/1705259782381150242
Fri Sep 22 14:22:40 +0000 2023;1705226110588555711;"Ada yg pernah pake asuransi kesehatan allianz/prudential? Share dongsss";0;5;0;1;in;2959703083;1705226110588555711;tuteh_;https://twitter.com/tuteh_/status/1705226110588555711
Fri Sep 22 13:56:09 +0000 2023;1705219434473005439;"@t_yudehis @mr_roofx @pttimothys @kompascom Selama waktu buat asuransi uda jujur sama riwayat kesehatan &amp  gaada yg missout  Claim aman2 aja  Mungkin yang di maksud dari bro Hay itu, tindakan yang di lakukan sebelum meninggal (cmiiw), karena alm oma saya jg sama prosesnya";0;1;0;0;in;1350533526;1705145205136228522;filcadet;https://twitter.com/filcadet/status/1705219434473005439
Fri Sep 22 13:34:28 +0000 2023;1705213980317503772;"@worksfess Inget ya, sifatnya asuransi kesehatan itu tunjangan Jangan fully bergantung sama hal itu";0;0;0;0;in;1350533526;1705193634294112640;filcadet;https://twitter.com/filcadet/status/1705213980317503772
Fri Sep 22 12:16:02 +0000 2023;1705194240010305952;"@PenmanYuma Aku udah siapin asuransi kesehatan jiwa sih :3";0;1;0;0;in;2331616058;1705190159782920308;PenmanYoon;https://twitter.com/PenmanYoon/status/1705194240010305952
Fri Sep 22 12:13:38 +0000 2023;1705193634294112640;"Sender seneng denger kabar temen sender akhirnya kerja! Semoga kalian jg segera keterima kerja. Aamiin! 😭🙏🏻  Btw, penting banget tanya soal benefit ke hrd, terutama asuransi kesehatan, WAJIB BANGET. Apalagi klo bisa disambungin ke app kayak h***d*c gitu. https://t.co/UIgaU93elW";0;1;1;11;in;1244597361826885636;1705193634294112640;worksfess;https://twitter.com/worksfess/status/1705193634294112640
Fri Sep 22 12:07:02 +0000 2023;1705191975262327140;"Asuransi Kesehatan Pastikan Anda memiliki asuransi kesehatan yang mencakup pengobatan di negara tujuan. Asuransi kesehatan sangat penting untuk melindungi diri kamu dari risiko medis yang tidak terduga.";0;1;0;0;in;180240682;1705191960749957343;majalahsunday;https://twitter.com/majalahsunday/status/1705191975262327140
