created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,Produk
Mon Sep 25 06:06:11 +0000 2023,1706188329295966416,"@shintaaraa_ 1.5 jt per tahun sist, bukan kantor sih jatuh nya dr asuransi aia. Bpjs juga ada tapi jumlah lebih kecil, lupa besarannya brpa nggk pernah pakai soalnya. Kalo dr kantor sndiri ngk ada kak.",0,1,0,0,in,431418842,1706122633287553370,Ditanyadia,https://twitter.com/Ditanyadia/status/1706188329295966416,AIA
Fri Sep 22 14:15:41 +0000 2023,1705224351996641705,"@kumparan Mohon klarifikasi dr pihak asuransi #Adakami,#pinjol,#onlineloan,#loans,#Cartel,#fraud Cc:@SBILife,@Nationwide,@Nationwide,@NewYorkLife,@amfam,@AXAIndonesia,@AXA,@the_real_aia,@acaasuransi,@Jiwasraya,@as_sinarmas,@KPPU,@YLKI_ID,@TulusAbadi,@TulusWijanarko,@ING_news,@FT,@fsa_JAPAN",0,0,0,0,in,549841921,1705184059335532911,MuhTaufikRahmat,https://twitter.com/MuhTaufikRahmat/status/1705224351996641705,AIA
Fri Sep 22 06:47:25 +0000 2023,1705111541975314830,🔔𝙇𝙊𝙆𝙀𝙍 𝙅𝘼𝘽𝙊𝘿𝙀𝙏𝘼𝘽𝙀𝙆  𝙉𝙊𝙏𝙀: buka link tautan melalui web browser!  • Posisi : LIFE PLANNER (AGEN ASURANSI) • Perusahaan : PT. AIA FINANCIAL  • Lokasi : Kota Bogor.  Daftar dan apply CV 📩: https://t.co/NalWnQrM3m  #fyptiktokindonesia https://t.co/pVQv7RHouB,0,0,0,0,in,1515856096933539840,1705111541975314830,ayusukaijo,https://twitter.com/ayusukaijo/status/1705111541975314830,AIA
Fri Sep 22 06:44:36 +0000 2023,1705110832282230799,🔔𝙇𝙊𝙆𝙀𝙍 𝙅𝘼𝘽𝙊𝘿𝙀𝙏𝘼𝘽𝙀𝙆  𝙉𝙊𝙏𝙀: buka link tautan melalui web browser!  • Posisi : LIFE PLANNER (AGEN ASURANSI) • Perusahaan : PT. AIA FINANCIAL  • Lokasi : Kota Bogor.  Daftar dan apply CV 📩: https://t.co/y20LunvnRg  #lokerbogor #bogordaily https://t.co/GqcAoAqBEV,0,0,0,0,in,1298647119402643456,1705110832282230799,u2brosist,https://twitter.com/u2brosist/status/1705110832282230799,AIA
Thu Sep 21 09:11:43 +0000 2023,1704785467294826746,#AIA #AIA Indonesia #Asuransi Unit Link 5 Tips self-healing Untuk Menjaga Kesehatan Mental product6 Bagaimana produk unit link terus tumbuh khususnya di masa pandemi? Yuk simak apa kata Prita Ghozi mengenai peningkatan kepercayaan terhadap produk ini.   https://t.co/zTNWUTTIV9,0,0,0,0,in,1519622250089283584,1704785467294826746,fiona99351131,https://twitter.com/fiona99351131/status/1704785467294826746,AIA
Thu Sep 21 02:46:55 +0000 2023,1704688628927201775,"@rikici Halo bang maaf nimbrung, boleh saya dm terkait pembatalan polis aia?🙏🏻saya minggu kemarin ngeiyain asuransi aia, dan polisnya barusan dikirim ke email, itu masih bisa dibatalin ga ya bang?🙏🏻soalnya rek saya juga belum di debet🙏🏻",0,1,0,0,in,442390694,1273605641307742208,fiayeee,https://twitter.com/fiayeee/status/1704688628927201775,AIA
Mon Sep 18 06:33:09 +0000 2023,1703658401228820846,#AIA #AIA Indonesia #Asuransi Unit Link 5 Tips self-healing Untuk Menjaga Kesehatan Mental product6 Bagaimana produk unit link terus tumbuh khususnya di masa pandemi? Yuk simak apa kata Prita Ghozi mengenai peningkatan kepercayaan terhadap produk ini.  https://t.co/0znxnANGsm,0,0,0,0,in,1527556150350139392,1703658401228820846,vivian89043067,https://twitter.com/vivian89043067/status/1703658401228820846,AIA
Mon Sep 18 05:34:20 +0000 2023,1703643598124949780,"Impactnya akan banyak RS yang rekanan menjadi tidak rekanan  Check to your agent, mau perusahaannya Allianz, AIA, Generalli, Prudential, Panin sama aja  Tapi karena Prudential uda mulai, perusahaan lain tinggal follow  Semuanya akan lebih baik buat nasabah tapi memang prosesnya…",0,1,2,1,in,1350533526,1703637840826085717,filcadet,https://twitter.com/filcadet/status/1703643598124949780,AIA
Sat Sep 16 06:39:30 +0000 2023,1702935221136667015,@darkhustle__ Mohon maaf atas ketidaknyamanannya. Nomor tersebut terdaftar sebagai program untuk penjualan/penawaran asuransi AIA melalui telemarketing ya Bapak/Ibu Pelanggan. Tks 🙂 ^Achel,0,0,0,0,in,620977821,1702933319447679170,HaloBCA,https://twitter.com/HaloBCA/status/1702935221136667015,AIA
Fri Sep 15 05:57:49 +0000 2023,1702562342679228452,#AIA #AIA Indonesia #Asuransi Unit Link AIA Amani Bagaimana produk unit link terus tumbuh khususnya di masa pandemi? Yuk simak apa kata Prita Ghozi mengenai peningkatan kepercayaan terhadap produk ini.  https://t.co/z6QcIwK5Es,0,0,0,0,in,1527556150350139392,1702562342679228452,vivian89043067,https://twitter.com/vivian89043067/status/1702562342679228452,AIA
