created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,Produk
Sun Sep 24 07:56:04 +0000 2023,1705853591704248560,"Klaim Asuransi Kesehatan Allianz Life Indonesia Alami Lonjakan, Tembus Rp1 Triliun https://t.co/4NgRaYGD9A",0,0,0,1,in,118646322,1705853591704248560,Bisniscom,https://twitter.com/Bisniscom/status/1705853591704248560,Allianz
Sun Sep 24 04:31:27 +0000 2023,1705802100142399881,"Lagi cari Asuransi Kantor?💼 Allianz punya nih!  https://t.co/7dPU3vbT0E  Minimal peserta 5 orang loh jadi 1 karyawan (misalnya pemilik perusahaan, dgn istri plus 3 anak) sdh bisa pakai produk ini 🤩  Info lebih lanjut 👇🏻 https://t.co/zEKExEoYQU",0,0,0,0,in,1483699308050677761,1705802100142399881,ubbisss,https://twitter.com/ubbisss/status/1705802100142399881,Allianz
Sat Sep 23 09:34:50 +0000 2023,1705516058969518180,"@banjarbase Hndk rekomen asuransi non bpjs kh nder? Sepengalamku makai pake Allianz bagus, pake adMedika bagus jua  BACOT NDER AI PADAH JA KM BEHIRI MUN PAKE ASURANSI BERARTI GAWIANNYA INI ITU LOOOO KEK ITU LOOO  Realistis ja nder ai, pake asuransi tetenang jua mun mendadak garing",0,2,0,0,in,1525327869546618881,1705475877902176712,vlueeside,https://twitter.com/vlueeside/status/1705516058969518180,Allianz
Sat Sep 23 07:45:46 +0000 2023,1705488614086607230,Berurusan lg sama lama ny proses perhitungan asuransi 😒   You can make it faster and better Allianz,0,0,0,0,in,58191105,1705488614086607230,CecsyL,https://twitter.com/CecsyL/status/1705488614086607230,Allianz
Sat Sep 23 07:04:27 +0000 2023,1705478216394445102,@fitrmels Haii kak aku pribadi mau rekomendasikan Allianz karna aku udah bantu nasabah aku yang emang udah berusia juga tapi perlu di concern kalau misalnya premi. Pasti akan lebih mahal dibanding masih muda ya kak  So kalau mau konsul juga tinggal dm aku aja nanti kubantu😄👌,0,0,0,0,in,1490626555403399168,1705442392974008666,AgenAsuransimu,https://twitter.com/AgenAsuransimu/status/1705478216394445102,Allianz
Sat Sep 23 06:02:24 +0000 2023,1705462598786048421,"menurut kalian, yg punya asuransi kantor perlu punya asuransi pribadi apa ga?  cth: mau bukanya pas udah pensiun aja ah biar ga double !""  bolehh  tapi pertanyaannya : 1. apakah masih sehat? 2. apakah premi masih murah? *mengingat premi disesuaikan dengan usia coba pikirin lagii""",0,1,0,0,in,1483699308050677761,1705462598786048421,ubbisss,https://twitter.com/ubbisss/status/1705462598786048421,Allianz
Sat Sep 23 04:57:57 +0000 2023,1705446380066738261,"@fitrmels hallo kak aku dari allianz, kalau mau konsultasi dan tanya2 mengenai asuransi kesehatan untuk orang tuanya boleh DM atau klik link WA di bio ya kak :) thanks kak",0,0,0,0,in,1629031878538977280,1705442392974008666,coupleasuransi,https://twitter.com/coupleasuransi/status/1705446380066738261,Allianz
Sat Sep 23 03:35:17 +0000 2023,1705425578487345278,"@tanyarlfes Pastikan dl lu udah punya Insurance buat biaya berobat dan kalo udah punya istri anak jangan lupa punya Asuransi jiwa, yaa Info bisa DM, gratis",0,0,0,0,in,1681233670538137600,1705415802000933115,TobingAllianz,https://twitter.com/TobingAllianz/status/1705425578487345278,Allianz
Sat Sep 23 01:36:45 +0000 2023,1705395747649441913,yukkkkk yang lagi cari asuransi travel perjalanan luar negri dari Allianz bisa klik brosur dibawah ini yaa  https://t.co/xIyhiU5xj1  info lebih lanjut bisa langsung WA ajaa cuusss ! thankyouw😉 https://t.co/GxqYsTvtG3,0,0,0,0,in,1483699308050677761,1705395747649441913,ubbisss,https://twitter.com/ubbisss/status/1705395747649441913,Allianz
Fri Sep 22 18:07:01 +0000 2023,1705282569674293579,"@tuteh_ Hallo kak aku sendiri pakai allianz, dan kemarin ini sempet kecelakaan kecil dan diperlukan fisioterapi semua bisa di claim dan cukup mudah prosesnya :) kalau mau tanya2 boleh ya kak https://t.co/dx571O3K2U",0,0,0,0,in,1629031878538977280,1705226110588555711,coupleasuransi,https://twitter.com/coupleasuransi/status/1705282569674293579,Allianz
Fri Sep 22 14:22:40 +0000 2023,1705226110588555711,Ada yg pernah pake asuransi kesehatan allianz/prudential? Share dongsss,0,5,0,1,in,2959703083,1705226110588555711,tuteh_,https://twitter.com/tuteh_/status/1705226110588555711,Allianz
Fri Sep 22 12:01:39 +0000 2023,1705190620858597595,Bersyukur bantu nasabah yang cedera saat Olahraga  begitu mahalnya biaya tidak terduga itulah pentingnya asuransi 🙏  dan harus membeli dari perusahaan yang terpercaya yaitu Allianz   Klaim dibayarkan Allianz 173.000.000 👏👏 Proteksi keuanganmu yuk https://t.co/zEKExEoYQU https://t.co/XYB44OV0H1,0,0,0,0,in,1483699308050677761,1705190620858597595,ubbisss,https://twitter.com/ubbisss/status/1705190620858597595,Allianz
Fri Sep 22 11:06:35 +0000 2023,1705176764304240708,@xiaowu2355 Aku pribadi pakai Allianz dan puji Tuhan masih di kasih kesehatan tapi aku pribadi udah bantu nasabah aku dan so far klaim gampang dan mudah  Boleh DM aku kalau mau konsul juga ya😁👌,0,0,0,0,in,1490626555403399168,1705150152158384605,AgenAsuransimu,https://twitter.com/AgenAsuransimu/status/1705176764304240708,Allianz
Fri Sep 22 10:24:48 +0000 2023,1705166247577682398,"@xiaowu2355 pernah kak aku sendiri pakai asuransi kesehatan, kakaknya lagi cari asuransi apa ya?",0,0,0,0,in,1629031878538977280,1705150152158384605,coupleasuransi,https://twitter.com/coupleasuransi/status/1705166247577682398,Allianz
Fri Sep 22 10:23:37 +0000 2023,1705165951183048710,"@arianditacindo hallo kak aku dari allianz ada asuransi untuk baby, kalo kakaknya mau tanya2 boleh DM atau klik link WA di bio yaa:) thanks kak",0,0,0,0,in,1629031878538977280,1705158000791708037,coupleasuransi,https://twitter.com/coupleasuransi/status/1705165951183048710,Allianz
Fri Sep 22 08:52:56 +0000 2023,1705143126531383501,"Asuransi itu bukan sekedar safety net, tapi alat biar kamu bisa nikmati hidup jauh lebih maksimal untuk ngejar cita-cita diri sendiri, dan ninggalin kebanggaan buat keluarga.",0,0,0,1,in,226496603,1705143119656985010,AllianzID,https://twitter.com/AllianzID/status/1705143126531383501,Allianz
Fri Sep 22 08:52:55 +0000 2023,1705143123498934432,Ada satu lagi yang sering digampangin..  Punya asuransi!,0,1,0,1,in,226496603,1705143119656985010,AllianzID,https://twitter.com/AllianzID/status/1705143123498934432,Allianz
Fri Sep 22 01:18:14 +0000 2023,1705028697991053719,Bersyukur tim kami sdh membantu 1 keluarga .  Nasabah usia 40-an terkena Kanker. Klaim kritis langsung cair 1 Milyar dan polis asuransi 3 anaknya semua bebas premi sampai 2040❤️  Yuk miliki proteksi keuanganmu!  https://t.co/zEKExEoYQU https://t.co/ukdPwcU732,0,0,0,0,in,1483699308050677761,1705028697991053719,ubbisss,https://twitter.com/ubbisss/status/1705028697991053719,Allianz
Thu Sep 21 09:44:59 +0000 2023,1704793837942743174,"Sebegitu pentingnya untuk punya asuransi pribadi, punya kamar sendiri, jadi lebih cepet juga untuk sembuh🥰 kalau 1 kamar serame ini kapan mau sembuhnya?🥹  Yuk jangan tunda punya asuransi !  https://t.co/zEKExEoYQU https://t.co/F3QyhVSQyR",0,0,0,1,in,1483699308050677761,1704793837942743174,ubbisss,https://twitter.com/ubbisss/status/1704793837942743174,Allianz
