created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,Produk
Mon Sep 25 13:41:56 +0000 2023,1706303019963351398,"@BNI Tadi ditelfon untuk ditawarkan asuransi. Saya sudah menolak beberapa kali tapi telesales bersikeras dan terkesan memaksa dgn alasan penawaran asuransi ini terbatas dan tugasnya hanya mengisikan data.  Mohon kedepannya tetap mengutamakan pilihan dan kenyamanan nasabah, trims.",3,13,0,3,in,1345043004986249217,1706257641830506959,lyfe_isshort,https://twitter.com/lyfe_isshort/status/1706303019963351398,BNI Life
Mon Sep 25 13:17:48 +0000 2023,1706296946049397080,"@lyfe_isshort Hai Kak @lyfe_isshort, dengan senang hati akan mimin infoin ya. Nomor telepon tersebut benar dari Telesales BNI untuk penawaran Asuransi BNI Life. Jika Kakak berminat, bisa minta sampaikan kepada petugasnya. Semoga infonya bisa membantu. Tks -Yuna-",0,1,0,0,in,62455266,1706257641830506959,BNI,https://twitter.com/BNI/status/1706296946049397080,BNI Life
Mon Sep 25 09:08:28 +0000 2023,1706234199324360827,"@yoyooooook Hai Kak @yoyooooook, bisa Kak. Dengan senang hati mimin infoin ya. Untuk pembatalan asuransi perisai plus, silakan Kakak menghubungi BNI Call 1-500046 ya Kak. Semoga informasinya membantu. Tks -Vita-",0,0,0,0,in,3272444328,1706222148417933775,BNICustomerCare,https://twitter.com/BNICustomerCare/status/1706234199324360827,BNI Life
Fri Sep 22 09:03:46 +0000 2023,1705145853651079441,Cuma pake BNI itupun gk aktif + asuransi🗿 https://t.co/olhvPs8ve3,0,0,0,2,in,1460044686291132416,1705145853651079441,DrunkNotDrugs,https://twitter.com/DrunkNotDrugs/status/1705145853651079441,BNI Life
Fri Sep 22 03:42:20 +0000 2023,1705064963839254606,BNI Life sebagai salah satu perusahaan asuransi terbaik dan terpercaya di Indonesia mengadakan acara ramah tamah bersama beberapa pimpinan rumah sakit di Bali agar dapat selalu memberikan pelayanan terbaik untuk masyarakat Bali.  #BNILife #BNILifeSquad #Bali https://t.co/mKnq8AhMZQ,0,0,0,1,in,3742388662,1705064963839254606,NgurahSuryaKu,https://twitter.com/NgurahSuryaKu/status/1705064963839254606,BNI Life
Thu Sep 21 08:36:47 +0000 2023,1704776677510074523,"@BNI apakah seperti ini berAKHLAK? Saya tidak punya hutang tapi diganggu sales asuransi, seperti punya hutang! https://t.co/kAWhxwqiDr",2,3,0,0,in,78514868,1704776677510074523,Pakusadewaa,https://twitter.com/Pakusadewaa/status/1704776677510074523,BNI Life
Wed Sep 20 04:49:09 +0000 2023,1704357002661793906,Dear @BNI @BNICustomerCare  Tolong sampaikan ke agen sales asuransinya Saya dpt telfon dr mereka. D tawari asuransi. Saya jawab tdk tertatik (tidak mau) harusnya faham dong. Besoknya keesokan nya sudah 4hr tiap hari d telponin terus. Harusnya faham dong kalo ngga mau jgn nlp lg,8,21,0,4,in,240081040,1704357002661793906,ranirch,https://twitter.com/ranirch/status/1704357002661793906,BNI Life
Tue Sep 19 18:05:10 +0000 2023,1704194939431834001,"@prayogiee82 @tetapastronot @BNI @DivHumas_Polri Hi Kak @prayogiee82, maaf ya udah buat Kakak gak nyaman. Jika Kakak tidak berminat dengan penawaran telemarketing asuransi BNI maka bisa mengajukan pemblokiran penawaran dengan menghubungi BNI Call 1-500046 ya. (1/4)",0,0,0,0,in,3272444328,1704003725889818625,BNICustomerCare,https://twitter.com/BNICustomerCare/status/1704194939431834001,BNI Life
Tue Sep 19 10:01:15 +0000 2023,1704073158553411706,"Agak cape ya say, udah punya asuransi dari kantor suami + bpjs, terus disuruh ikut setengah maksa bikin asuransi lagi sama bank tabungan🫠 makin yakin pengen tutup tabungan di @BNI",2,6,0,0,in,269661691,1704073158553411706,nadysfitrir,https://twitter.com/nadysfitrir/status/1704073158553411706,BNI Life
Tue Sep 19 07:55:14 +0000 2023,1704041445521510539,"Jujur deh ya pake kartu kredit @BNI ini bikin trauma karena diteleponin telemarketing yang nawarin asuransi perisai plus. Udah saya bilang: “maaf saya tidak berminat, dan mohon, minta tolong, kedepannya jangan tawari saya lagi ya!” EH TETEP AJA DITELEPONIN 🤡",0,8,0,0,in,1662793004,1704041445521510539,wikurizky,https://twitter.com/wikurizky/status/1704041445521510539,BNI Life
Tue Sep 19 03:31:45 +0000 2023,1703975137727651958,"Seminggu belakangan asuransi bni life spam terus. Ada 5 nomor @BNI @BNICustomerCare annoying. Telemarketing udah gak ngaruh, hapusin aja. Make cust comes to you, bukan sebaliknya. Auto block. Wasting time.",2,3,0,0,in,1112279469102788608,1703975137727651958,sambalteripete,https://twitter.com/sambalteripete/status/1703975137727651958,BNI Life
Sat Sep 16 14:19:22 +0000 2023,1703050950007763046,"@randhudjatie @BNI Hi Kak @randhudjatie, dengan senang hati mimin bantu informasikan ya, jika asuransi Kakak BNI Life Kakak bisa konfirmasi(1/3)",0,0,0,0,in,3272444328,1703034901963084227,BNICustomerCare,https://twitter.com/BNICustomerCare/status/1703050950007763046,BNI Life
Sat Sep 16 07:31:45 +0000 2023,1702948372192329761,"@rain_is_ranis Hi Kak @rain_is_ranis, makasih ya atas perhatian Kakak pada BNI Life. Mimin bantu infoin ya, untuk informasi detail mengenai asuransi BNI Life mimin persilakan Kakak menghubungi Customer Service BNI Life di 1-500045 ya Kak.(1/3)",0,0,0,0,in,62455266,1702946514568622162,BNI,https://twitter.com/BNI/status/1702948372192329761,BNI Life
Sat Sep 16 07:24:22 +0000 2023,1702946514568622162,"Halo @BNI  aku mau tanya dong ibu ku kan ikutan bni life asuransi ya, terus sakit rawat inap apa bisa klaim asuransi?",4,16,0,1,in,3571491445,1702946514568622162,rain_is_ranis,https://twitter.com/rain_is_ranis/status/1702946514568622162,BNI Life
Sat Sep 16 05:46:49 +0000 2023,1702921962153292232,Malesin banget setiap hari ditelephone sama  Asuransi BNI  Dh bilang gak mau  Di tlp lagi,0,0,0,0,in,4297631560,1702921962153292232,vickypotterfox1,https://twitter.com/vickypotterfox1/status/1702921962153292232,BNI Life
Sat Sep 16 00:04:48 +0000 2023,1702835893235843154,@BNICustomerCare akhir akhir ini saya terganggu dengan telp dari BNI life yang sering nelp pada saat kerja no telp 30009546 yang menawarkan asuransi,1,6,0,1,in,758365152,1702835893235843154,aselirembang,https://twitter.com/aselirembang/status/1702835893235843154,BNI Life
Fri Sep 15 08:19:39 +0000 2023,1702598036202139716,"@BNICustomerCare @BNI  Halo BNI. Apa kabarmu? Saya nasabah BNI sejak lama. Saya mencairkan Asuransi, dengan janji 14 hari kerja. Sejak tgl 08/08/23 tapi sampai saat ini belum cair juga. Dengan alasan nomer yg ditlp bukan saya pemiliknya. Padahal saya yang menjawab sendiri.",6,22,0,1,in,339089793,1702598036202139716,RyanDarsudi,https://twitter.com/RyanDarsudi/status/1702598036202139716,BNI Life
Thu Sep 14 13:14:40 +0000 2023,1702309892756046331,288. Testimoni joki PPT BNI asuransi life.  #joki #jokitugas #jokitugasmurah #jokitugaskuliah #jokiketik #jokiessay #jokiartikel #jokipaper #jokimakalah #jokisoal #jokimateri #jokiposter #jokippt #jokiziro https://t.co/0qj0Xrmfzz,0,0,0,0,in,1251072680301785088,1702309892756046331,zirokeixon,https://twitter.com/zirokeixon/status/1702309892756046331,BNI Life
Thu Sep 14 11:23:21 +0000 2023,1702281880757047299,@BNILifeID halo kak aku udah ngajuin buat penutupan asuransi di kantor cabang bni tapi kok sampai sekarang gak ada kabar ya? Uangku premi belum juga di kembalikan. Mau nunggu berapa lama lagi.,0,4,0,0,in,883342942164865024,1702281880757047299,orchidaeblume,https://twitter.com/orchidaeblume/status/1702281880757047299,BNI Life
Thu Sep 14 10:42:29 +0000 2023,1702271596038373813,"@orchidaeblume Hai Kak @orchidaeblume, maaf ya udah buat Kakak gak nyaman. Jika yang asuransi yang dimaksud adalah BNI Life, Mimin saranin Kakak menghubungi Customer Service BNI Life di 1-500045 guna pengecekan data terlebih dahulu. Tks -Yongki-",0,1,0,0,in,62455266,1702269844685799555,BNI,https://twitter.com/BNI/status/1702271596038373813,BNI Life
Thu Sep 14 10:35:32 +0000 2023,1702269844685799555,@BNI halo BNI saya sudah mengajukan penutupan akun asuransi saya tapi kok dana saya belum dikembalikan ya?,2,5,0,1,in,883342942164865024,1702269844685799555,orchidaeblume,https://twitter.com/orchidaeblume/status/1702269844685799555,BNI Life
Wed Sep 13 09:12:29 +0000 2023,1701886559312834617,"@noonaruna Hai Kak @noonaruna, dengan senang hati akan mimin infoin ya. Nomor telepon 021-30449946 dan 021-31171246 benar dari Agency Telesales BNI untuk penawaran Asuransi BNI Life. Semoga infonya membantu. Tks -Yuna-",0,0,0,0,in,62455266,1701881627826430416,BNI,https://twitter.com/BNI/status/1701886559312834617,BNI Life
Wed Sep 13 03:34:36 +0000 2023,1701801524417220732,"@BNI kak beberapa hari ini ada dari no. 02130009646 menghubungi terus, menawarkan terkait asuransi. apakah itu betul dari BNI? dikarenakan menghubunginya intens setiap hari.",2,13,0,2,in,59061620,1701801524417220732,abf2105,https://twitter.com/abf2105/status/1701801524417220732,BNI Life
Tue Sep 12 13:28:13 +0000 2023,1701588525135925723,"@mimosapdc_ @BNILifeID Hi Kak @mimosapdc_, maaf udah buat Kakak nggak nyaman ya, untuk permintaan pembatalan keikutsertaan asuransi, Kakak bisa menghubungi BNI Life Call 1-500045 atau akses ke layanan live chat https://t.co/uIh3eE7El2 ya Kak. (1/4)",0,0,0,0,in,3272444328,1701560191651868871,BNICustomerCare,https://twitter.com/BNICustomerCare/status/1701588525135925723,BNI Life
Tue Sep 12 07:58:33 +0000 2023,1701505562217947599,"@BNICustomerCare tertibkan pengasong2 asuransi, KTA dll. Sehari bisa menelpon belasan bahkan puluhan kali, sangat buruk bagi reputasi @BNI. @ojkindonesia @infoJATIASIH https://t.co/WTv5upbdGA",5,14,0,4,in,2472024432,1701505562217947599,HandyHandogo,https://twitter.com/HandyHandogo/status/1701505562217947599,BNI Life
