created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,Produk
Mon Sep 18 09:05:36 +0000 2023,1703696766024204646,"@jgnlupapakehelm Hai Sobat BRI, saat ini Bank BRI bekerja sama dengan beberapa pihak asuransi seperti Cigna/Chubb, SequisLife dan BRILife. Apakah Sobat BRI dihubungi oleh salah satu asuransi tersebut? Jika ya, mohon diinformasikan nomor ponsel yang menghubungi melalui DM. (1)",0,1,0,0,in,1355939492,1703655659550720338,BANKBRI_ID,https://twitter.com/BANKBRI_ID/status/1703696766024204646,Cigna
Fri Sep 01 07:51:39 +0000 2023,1697517562077270302,"@asipadania Hai Sobat BRI, jika yang dimaksud terdaftar pada asuransi Cigna/Chubb Life, silakan menghubungi Call Center di nomor 1500 257 untuk pengajuan penutupan asuransi tersebut.   Informasi produk BRI silakan akses https://t.co/2Ue8NhHecj . (1)",0,0,0,0,in,1355939492,1697511033932541975,BANKBRI_ID,https://twitter.com/BANKBRI_ID/status/1697517562077270302,Cigna
Thu Aug 31 05:38:35 +0000 2023,1697121684569104405,"@Riolafiet Tidak perlu khawatir. Untuk nomor tersebut merupakan asuransi Cigna/Chubb. Guna pengecekan, silakan menghubungi Call Center asuransi Chubb Life Indonesia di nomor 1500 257.  Informasi produk BRI silakan akses https://t.co/2Ue8NhHecj (1)",0,0,0,0,in,1355939492,1697108774346223786,BANKBRI_ID,https://twitter.com/BANKBRI_ID/status/1697121684569104405,Cigna
Thu Aug 31 05:02:51 +0000 2023,1697112694128869623,"@Riolafiet Hai Sobat BRI, kami informasikan BRI memiliki beberapa jenis asuransi yang sudah bekerja sama seperti Cigna/Chubb, Sequis Life dan BRILife. Untuk asuransi tersebut bersifat penawaran. (1)",0,0,0,0,in,1355939492,1697108774346223786,BANKBRI_ID,https://twitter.com/BANKBRI_ID/status/1697112694128869623,Cigna
Thu Aug 24 01:40:37 +0000 2023,1694525084118241295,"@Chubb_ID jika ingin mengajukan pemberhentian asuransi cigna, prosedurnya bagaimana?",0,0,0,0,in,181705604,1691401489691168768,OvernOver2018,https://twitter.com/OvernOver2018/status/1694525084118241295,Cigna
Fri Aug 18 01:49:34 +0000 2023,1692353008678666605,"Hallo cs @Chubb_ID @Cignaquestions @HaloBCA Untuk menonaktifkan asuransi @Cigna ,bisa di bantu gak ya ?dan saya harus email kemana untuk untuk verifikasinya",4,10,0,0,in,160367530,1692353008678666605,dewanthoro,https://twitter.com/dewanthoro/status/1692353008678666605,Cigna
Thu Aug 17 00:18:02 +0000 2023,1691967588132413720,"@cykh117 @BANKBRI_ID @ojkindonesia @Chubb_ID itu dah, pilih 2 (yang asuransi cigna), trus 3 keluhan pelanggan",0,1,0,0,in,2435543255,1691411091631620096,duskhntr_,https://twitter.com/duskhntr_/status/1691967588132413720,Cigna
Tue Aug 15 13:05:22 +0000 2023,1691435914491523073,"@duskhntr_ Informasi lengkap terkait Asuransi Cigna/Chubb Life, silakan menghubungi Call Center asuransi Chubb Life Indonesia di nomor 14087.  Informasi lengkap terkait produk Bank BRI silakan akses Link https://t.co/2Ue8NhHecj . (2)",0,0,0,0,in,1355939492,1691411091631620096,BANKBRI_ID,https://twitter.com/BANKBRI_ID/status/1691435914491523073,Cigna
Tue Aug 15 13:04:57 +0000 2023,1691435810455953408,"@duskhntr_ Hai Sobat BRI, mohon maaf atas ketidaknyamanan yang dialami. Kami informasikan untuk program Telepro Sehat Optima merupakan salah satu program dari asuransi yang bekerja sama dengan BRI yaitu asuransi Cigna/Chubb Life dan asuransi tersebut bersifat penawaran. (1)",0,1,0,0,in,1355939492,1691411091631620096,BANKBRI_ID,https://twitter.com/BANKBRI_ID/status/1691435810455953408,Cigna
Mon Aug 14 04:54:13 +0000 2023,1690949928452014080,"Asuransi Cigna, Bank DBS dll skrg nambah lg BPR 😭 ngapa sihhh pd demen nelponin w 😭😭😭😭 https://t.co/AOgUjb4wK5",0,1,0,0,in,122814492,1690949928452014080,tinkerbweel,https://twitter.com/tinkerbweel/status/1690949928452014080,Cigna
Sun Aug 13 07:51:44 +0000 2023,1690632214328033280,"@tanyarlfes Ngalamin bgt nder, aku cek d getcontact trnyta nomer asuransi cigna, sales2 bank biasanya nawarin CC sm pinjaman 😡 udah diblokir ttp nelpon pk no yg beda 😡😡😡😡",0,0,0,0,in,122814492,1690621656006635521,tinkerbweel,https://twitter.com/tinkerbweel/status/1690632214328033280,Cigna
Fri Aug 11 08:41:41 +0000 2023,1689920007852130304,"@cremekeyju Hai Sobat BRI, nomor tersebut merupakan nomor resmi dari asuransi Cigna/Chubb yang bekerja sama dengan Bank BRI terkait penawaran asuransi. Untuk informasi lengkap silakan konfirmasi pada asuransi Cigna/Chubb di nomor 1-500-257. (1)",0,0,0,1,in,1355925366,1689914877870329856,kontakBRI,https://twitter.com/kontakBRI/status/1689920007852130304,Cigna
Wed Aug 09 12:23:19 +0000 2023,1689251006687891456,Pertanyaan Mengenai Produk Chubb https://t.co/6AXecHXWSP #Pertanyaan gimana cara klaim asuransi kesehatan cigna?,0,0,0,0,in,29157160,1689251006687891456,FransZone,https://twitter.com/FransZone/status/1689251006687891456,Cigna
Mon Aug 07 02:36:31 +0000 2023,1688378559705010176,"@aefrus maka bisa melakukan penolakan ya. Informasi lengkap terkait produk asuransi, silakan menghubungi Call Center asuransi Cigna/Chubb Life di nomor 14087.  Informasi produk Bank BRI dapat akses Website https://t.co/2Ue8NhHecj (2)",0,0,0,0,in,1355939492,1688375151292018689,BANKBRI_ID,https://twitter.com/BANKBRI_ID/status/1688378559705010176,Cigna
Mon Aug 07 02:36:15 +0000 2023,1688378489735704577,"@aefrus Hai Sobat BRI, kami lakukan pengecekan nomor tersebut merupakan nomor telepon asuransi Cigna/Chubb Life yang bekerja sama dengan Bank BRI untuk menawarkan produk kepada Nasabah pemilik rekening BritAma. Jika tidak berkenan dengan penawaran asuransi tersebut (1)",0,0,0,0,in,1355939492,1688375151292018689,BANKBRI_ID,https://twitter.com/BANKBRI_ID/status/1688378489735704577,Cigna
Fri Aug 04 08:18:18 +0000 2023,1687377405416189952,"@yuri_yya Hai Sobat BRI, kami informasikan Bank BRI bekerja sama dengan beberapa asuransi yaitu Cigna, Sequislife dan BRILife. Jika dihubungi oleh salah satu asuransi tersebut dan tidak berkenan dengan penawaran tersebut, Sobat BRI bisa mengabaikan penawaran asuransi tersebut.(1)",0,0,0,0,in,1355939492,1687365361073864704,BANKBRI_ID,https://twitter.com/BANKBRI_ID/status/1687377405416189952,Cigna
Tue Aug 01 18:23:52 +0000 2023,1686442641498816512,"@iccajessy Hai Sobat BRI, tidak perlu khawatir, nomor tersebut merupakan nomor resmi dari asuransi Cigna/Chubb yang bekerja sama dengan Bank BRI terkait penawaran asuransi yang bersifat penawaran ya. Untuk informasi lengkap silakan konfirmasi pada asuransi Cigna/Chubb (1)",0,0,0,0,in,1355939492,1661266022282969090,BANKBRI_ID,https://twitter.com/BANKBRI_ID/status/1686442641498816512,Cigna
Fri Jul 28 08:41:29 +0000 2023,1684846526609444864,"@askDika Bbrp waktu lalu aku aktifin auto decline utk telp2 ke nomer hp, jd nomerku cuma bisa dicall via WA aja, awalnya grgr sering ditelp sm asuransi cigna yg annoying bgt Sepertinya keputusanku ini sgt bermanfaat utk jangka panjang ya Antisipasi semakin pinterny kangtipu 😑",0,1,4,3,in,273265656,1684835103363784705,riskak_,https://twitter.com/riskak_/status/1684846526609444864,Cigna
Thu Jul 27 04:51:17 +0000 2023,1684426206127742976,"@NovalRa13 @kontakBRI @BANKBRI_ID Hai Sobat BRI, tidak perlu khawatir. Kami informasikan Bank BRI memiliki beberapa jenis asuransi yang sudah bekerja sama seperti Cigna/Chubb Life, Sequislife dan BRILife. Guna pengecekan, silakan diinformasikan nomor telepon yang menghubungi Sobat BRI melalui DM. (1)",0,1,0,0,in,1398703135,1684422101569261568,promo_BRI,https://twitter.com/promo_BRI/status/1684426206127742976,Cigna
Fri Jun 23 08:35:46 +0000 2023,1672161513631784960,"Mau share pengalaman ditawarin asuransi Cigna yg skrg diakuisisi oleh @Chubb_ID, gue ditawarin asuransi Cigna krn gue salah satu pemegang CC @BankBCA , dijelasinlah seperti asuransi biasa dan gue penasaran pengen tau. Info dari telemarketingnya ada masa garansi buku polis, cont.",0,3,0,1,in,285413014,1672161513631784960,Dev_April,https://twitter.com/Dev_April/status/1672161513631784960,Cigna
Mon Jun 12 04:53:47 +0000 2023,1668119381455548416,"@ard16n Hai Sobat BRI, mohon maaf atas ketidaknyamanannya. Kami informasikan Bank BRI bekerja sama dengan beberapa asuransi seperti Sequislife, BRILife dan Cigna/Chubb. Jika tidak tertarik pada program yang ditawarkan dapat mengabaikan atau menolak tawaran tersebut. (1)",0,0,0,0,in,1355939492,1668113275555577857,BANKBRI_ID,https://twitter.com/BANKBRI_ID/status/1668119381455548416,Cigna
Thu Jun 08 10:21:01 +0000 2023,1666752181423468544,"@kurniaa45814827 Hai Sobat BRI, kami informasikan nomor telepon 02125096300 merupakan nomor telepon dari asuransi yang bekerja sama dengan BRI yaitu asuransi Cigna/Chubb Life dan asuransi tersebut bersifat penawaran. Informasi lengkap terkait Asuransi Cigna/Chubb Life, (1)",0,0,0,0,in,1355925366,1666746863943561216,kontakBRI,https://twitter.com/kontakBRI/status/1666752181423468544,Cigna
Thu Jun 08 06:22:35 +0000 2023,1666692177702035456,"@kolomdistilasi Hai Sobat BRI, kami informasikan BRI memiliki beberapa jenis asuransi yang sudah bekerja sama seperti Cigna/Chubb, Sequis Life dan BRILife. Untuk asuransi tersebut bersifat penawaran. Kami himbau untuk senantiasa menjaga kerahasiaan data perbankan pribadi (1)",0,0,0,0,in,1355925366,1666689251042553862,kontakBRI,https://twitter.com/kontakBRI/status/1666692177702035456,Cigna
Mon Jun 05 03:48:02 +0000 2023,1665566119502151680,"Merger dengan Chubb Life, Izin Usaha Asuransi Cigna Dicabut OJK https://t.co/rDeyTDrAIM",0,0,0,0,in,188438662,1665566119502151680,KompasEkonomi,https://twitter.com/KompasEkonomi/status/1665566119502151680,Cigna
Thu Jun 01 02:44:03 +0000 2023,1664100465280454656,OJK menyatakan telah mencabut izin usaha asuransi jiwa PT Asuransi Cigna seiring mergernya perusahaan tersebut dengan PT Chubb Life Insurance Indonesia. https://t.co/ZYDjju67G6,0,0,1,2,in,118646322,1664100465280454656,Bisniscom,https://twitter.com/Bisniscom/status/1664100465280454656,Cigna
Wed May 31 13:46:15 +0000 2023,1663904725970870284,@mutiarasntka11 maka pihak Cigna/Chubb Life akan mengirimkan polis asuransi ke alamat Sobat BRI.  Informasi produk Bank BRI dapat diakses pada Website https://t.co/eUydMP8tvj. Channel Private resmi BRI melalui WhatsApp hanya dengan nomor 08121214017 dan (2),0,0,0,0,in,1355925366,967602553742643200,kontakBRI,https://twitter.com/kontakBRI/status/1663904725970870284,Cigna
Wed May 31 13:46:04 +0000 2023,1663904683222523906,"@mutiarasntka11 Hai Sobat BRI, tidak perlu khawatir ya. Kami bantu pengecekan nomor telepon 021 25096300 merupakan nomor telepon asuransi Cigna/Chubb Life yang bekerja sama dengan BRI dan asuransi tersebut bersifat penawaran. Jika Sobat BRI sudah menyetui penawaran tersebut, (1)",0,0,0,0,in,1355925366,967602553742643200,kontakBRI,https://twitter.com/kontakBRI/status/1663904683222523906,Cigna
Wed May 31 12:49:25 +0000 2023,1663890422874394627,"Seminggu lalu di telfon sama asuransi bca, dan nolak secara baik, tp langsung di hangup sama mba nya. Dan sekarang di kirimin surat kalau sudah terdaftar asuransi chubb cigna Luarbiasa, begimana cara kerja nya itu",0,1,0,0,in,421702910,1663890422874394627,LevyChristinaa,https://twitter.com/LevyChristinaa/status/1663890422874394627,Cigna
Wed May 31 02:59:26 +0000 2023,1663741949843734529,Otoritas Jasa Keuangan (OJK) mencabut izin usaha di bidang asuransi jiwa PT Asuransi Cigna sehubungan penggabungan usaha PT Asuransi Cigna ke dalam PT Chubb Life Insurance Indonesia. https://t.co/nZNmu3pG4M,0,1,0,0,in,1450957656,1663741949843734529,Media_Asuransi,https://twitter.com/Media_Asuransi/status/1663741949843734529,Cigna
Sun May 21 16:52:14 +0000 2023,1660327651436003328,"@Chubb_ID saya mau mbatalkan polis asuransi cigna, kalian udh merger kan? Prosesnya bagaimana?",0,0,0,0,in,1069050120707002368,1660327651436003328,pidipap,https://twitter.com/pidipap/status/1660327651436003328,Cigna
Fri May 12 14:44:20 +0000 2023,1657033974030401538,"@Stefan400368 Hai Sobat BRI, mohon maaf atas ketidaknyamanan yang dialami. Kami lakukan pengecekan nomor telepon 021-30050900 merupakan nomor telepon asuransi Cigna/Chubb ya. Perusahaan asuransi tersebut merupakan perusahaan asuransi yang bekerja sama dengan Bank BRI (1)",0,0,0,0,in,1355925366,1656982589788524544,kontakBRI,https://twitter.com/kontakBRI/status/1657033974030401538,Cigna
