created_at,full_text,username,Produk,rate
2023-09-25,"['1', '5', 'juta', 'sist', 'kantor', 'sih', 'jatuh', 'nya', 'dari', 'asuransi', 'aia', 'bpjs', 'lupa', 'brpa', 'nggk', 'pakai', 'kalau', 'dari', 'kantor', 'sndiri', 'ngk', 'kak']",Ditanyadia,AIA,2
2023-09-22,"['mohon', 'klarifikasi', 'dari', 'asuransi', 'cc']",MuhTaufikRahmat,AIA,2
2023-09-21,"['indonesia', 'unit', 'link', '5', 'tips', 'self-healing', 'jaga', 'sehat', 'mental', 'product6', 'produk', 'unit', 'link', 'tumbuh', 'khusus', 'pandemi', 'yuk', 'simak', 'prita', 'ghozi', 'kena', 'tingkat', 'percaya', 'hadap', 'produk']",fiona99351131,AIA,2
2023-09-21,"['halo', 'bang', 'maaf', 'nimbrung', 'pesan', 'kait', 'batal', 'polis', 'aia', 'minggu', 'kemarin', 'ngeiyain', 'asuransi', 'aia', 'polis', 'barusan', 'kirim', 'email', 'dibatalin', 'tidak', 'ya', 'bang', 'rek', 'debet']",fiayeee,AIA,2
2023-09-18,"['impactnya', 'rumah', 'sakit', 'rekan', 'rekan', 'check', 'to', 'your', 'agent', 'usaha', 'allianz', 'aia', 'generalli', 'prudential', 'panin', 'saja', 'prudential', 'uda', 'usaha', 'tinggal', 'follow', 'nasabah', 'proses']",filcadet,AIA,1
2023-09-16,"['mohon', 'maaf', 'ketidaknyamanannya', 'nomor', 'daftar', 'program', 'jual', 'tawar', 'asuransi', 'aia', 'telemarketing', 'ya', 'langgan', 'tks', 'achel']",HaloBCA,AIA,1
2023-09-15,"['indonesia', 'unit', 'link', 'aia', 'aman', 'produk', 'unit', 'link', 'tumbuh', 'khusus', 'pandemi', 'yuk', 'simak', 'prita', 'ghozi', 'kena', 'tingkat', 'percaya', 'hadap', 'produk']",vivian89043067,AIA,1
2023-09-15,"['mohon', 'maaf', 'ketidaknyamanannya', 'nomor', 'rupa', 'nomor', 'telepon', 'telemarketing', 'asuransi', 'aia', 'ya', 'kenan', 'abai', 'tks', 'fiza']",HaloBCA,AIA,1
2023-09-14,"['senang', 'hati', 'informasi', 'modus', 'tipu', 'ya', 'nomor', 'telepon', 'rupa', 'nomor', 'telepon', 'telemarketing', 'asuransi', 'aia', 'kenan', 'abai', 'tks', 'fiza']",HaloBCA,AIA,2
2023-09-13,"['mohon', 'maaf', 'ketidaknyamanannya', 'langgan', 'nomor', 'telepon', 'rupa', 'telemarketing', 'asuransi', 'aia', 'kenan', 'mohon', 'abai', 'ya', 'saran']",HaloBCA,AIA,2
2023-09-13,"['senang', 'hati', 'informasi', 'ya', 'langgan', 'nomor', 'resmi', 'telemarketing', 'aia', 'tawar', 'produk', 'asuransi', 'tks', 'esper']",HaloBCA,AIA,2
2023-09-06,"['kemren', 'yang', 'telpon', 'aia', 'lupa', 'kalau', 'ngajuain', 'asuransi', 'bakar', 'toko', 'antisipasi', 'aia', 'tidak']",sept060696,AIA,2
2023-09-05,"['pribadi', 'keluarga', 'asuransi', 'sehat', 'pakai', 'aia', 'agen', 'so', 'far', 'alam', 'klaim', 'keluarga', 'klien', 'yang', 'tidak', 'kendala', 'arti', 'manulife', 'pru', 'oke', 'layak', 'timbang']",SemEinhart,AIA,3
2023-09-05,"['rada', 'rada', 'ya', 'emang', 'asuransi', 'saya', 'nabung', 'beli', 'asuransi', 'allianz', 'manulife', 'prudential', 'aia', 'bas', 'taun', 'dana', 'manfaat', 'saja', 'sih', 'kepake', 'operasi', 'masuk', 'rumah', 'sakit', 'i', 'will', 'keep', 'health', 'insurance', 'saja', 'skrg']",felinekeeper,AIA,1
2023-09-04,"['gua', 'masih', 'nyimpen', 'pamflet', 'aia', 'dari', 'jaman', '2014', 'kasih', 'unjuk', 'pegawai', 'dalih', 'raka', 'mengatasnamakan', 'tabung', 'narik', 'nasabah', 'asuransi', 'dzalim', 'biar', 'allah', 'yang', 'bales']",LFS1502,AIA,1
2023-09-04,"['almh', 'gua', 'aia', 'sudah', '10', 'thn', '2020', 'sudah', 'pas', '10', 'thn', 'tapi', 'nyata', 'itungan', 'dari', 'aia', 'thn', 'alias', '2021', 'gua', 'kesel', 'sekali', 'potong', 'bnyk', 'sekali', 'contoh', 'dapat', '70jt', 'dapat', '50', 'juta', 'ajar', 'mending', 'tidak', 'asuransi', 'lebih', 'nabung']",LFS1502,AIA,1
2023-09-03,"['asuransi', 'swasta', 'bagus', 'aia']",iamjuanalbert,AIA,2
2023-09-01,"['dari', 'asuransi', 'aia', 'suka', 'ngucapin', 'sudah', 'tidak', 'lagi', 'aia', 'lupa']",stayw8thskz,AIA,2
2023-09-01,"['mohon', 'maaf', 'ketidaknyamanan', 'alami', 'nomor', 'rupa', 'nomor', 'telemarketing', 'asuransi', 'aia', 'kenan', 'hubung', 'mohon', 'sedia', 'hubung', 'halo', 'bca', '1500888']",HaloBCA,AIA,2
2023-09-01,"['stop', 'gimana']",farifboy,AIA,2
2023-09-01,"['stop', 'gimana', 'nya']",farifboy,AIA,2
2023-08-31,"['data', 'salah', 'data', 'hasil', 'manipulasi', 'korban', 'sabang', 'merauke', 'modus', 'bilang', 'tabung', 'bonus', 'asuransi', 'jahat', 'struktur', 'organisir', 'tlng']",FonnyMfft67,AIA,1
2023-08-30,"['kalau', 'agen', 'asuransi', 'aia', 'liat', 'twit', 'pls', 'notice', 'gua']",xmrvel,AIA,2
2023-08-25,"['nomor', 'telepon', '02130487001', '02131181781', '02180679725', 'telemarketing', 'bca', 'tawar', 'asuransi', 'aia', 'nomor', '02150950888', '02131148856', 'daftar', 'sistem', '1', '2']",BankBCA,AIA,2
2023-08-25,"['pakai', 'asuransi', 'yang', 'aj', 'bro', 'jangan', 'aia', 'kasi', 'duit', 'klen', 'nasabah', 'aia', 'masuk', 'klub', 'yang', 'tidak', 'arah']",ybcactus_,AIA,1
2023-08-25,"['usaha', 'asuransi', 'pt', 'aia', 'financial', 'aia', 'indonesia', 'luncur', 'inisiatif', 'esg', 'environment', 'social', 'governance', 'payung', 'program', 'aia', 'sehat', 'negeri', 'lengkap']",theiconomic,AIA,2
2023-08-25,"['senang', 'hati', 'bantu', 'info', 'langgan', 'proses', 'batal', 'asuransi', 'aia', 'mohon', 'sedia', 'langsung', 'konfirmasi', 'aia', 'nomor', 'telepon', '1500980', 'email', 'alamat', 'id', 'customer']",HaloBCA,AIA,3
2023-08-24,"['bagiamana', 'batal', 'polis', 'asuransi', 'aia', 'tolong', 'telemarketernya', 'nelpon', 'tuju']",raeinbow,AIA,2
2023-08-24,"['halo', 'gimana', 'yah', 'ngebatalin', 'asuransi', 'aia', 'saya', 'tidak', 'tuju', 'kalau', 'seperti', 'gin', 'tidak', 'sekali']",raeinbow,AIA,2
