created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,Produk
Thu Sep 21 14:50:47 +0000 2023,1704870795783393622,"Halo #SahabatAtma 👐  Ada info lowongan kerja terbaru dari PT Asuransi Jiwa Manulife Indonesia  Untuk informasi lebih lengkapnya, silahkan cek pada postingan berikut 👉 https://t.co/NHhQ8wgEg5",0,0,0,0,in,1849989144,1704870795783393622,uajcareercenter,https://twitter.com/uajcareercenter/status/1704870795783393622,Manulife
Thu Sep 21 08:06:04 +0000 2023,1704768944434012386,"Tabungan Bertahun², bisa habis dalam seminggu kalo ngga punya Asuransi Kesehatan.Bukti klien ku, biaya pengobatan operasi Miom Rp85Juta, full ditanggung asuransi kesehatan Murni Miultimate Healthcare Manulife. Langsung pake Kartu. Bebas pilih Dokter bagus. Bebas pilih Rumah Sakit https://t.co/TysvZuLJnU",0,0,0,0,in,765260294,1704768944434012386,OlaLRJ,https://twitter.com/OlaLRJ/status/1704768944434012386,Manulife
Wed Sep 20 22:34:07 +0000 2023,1704625011074699405,Manulife Luncurkan Asuransi untuk Kebutuhan Pensiun dan Pendidikan Anak https://t.co/PpdXhCXajs,0,0,1,0,in,1318855369641263105,1704625011074699405,IDNTimesJateng,https://twitter.com/IDNTimesJateng/status/1704625011074699405,Manulife
Wed Sep 20 15:54:01 +0000 2023,1704524321216245946,"Kasian oom gue mau oprasi jantung 350jt cuma di cover asuransi 50jt njer, berasa di curangin bgt. Jangan lagi percaya sm manulife sialan",0,0,0,0,in,1408294066173800451,1704522743478468615,keycapasinn,https://twitter.com/keycapasinn/status/1704524321216245946,Manulife
Wed Sep 20 15:47:45 +0000 2023,1704522743478468615,"Bener2 ya asuransi manulife, gabisa ngecover uang oprasi, bobrok mending bpjs",0,1,0,0,in,1408294066173800451,1704522743478468615,keycapasinn,https://twitter.com/keycapasinn/status/1704522743478468615,Manulife
Wed Sep 20 06:39:35 +0000 2023,1704384795789369415,"Manulife Saving Protector Siapkan Masa Pensiun dan Pendidikan Anak. 👇  Manulife Indonesia mengenalkan Manulife Saving Protector, sebuah asuransi dwiguna untuk mempersiapkan dana pensiun serta biaya… #Ekbis #ManulifeIndonesia via @beritajatimcom https://t.co/lVm8ezoIzl",0,0,0,0,in,21287066,1704384795789369415,beritajatimcom,https://twitter.com/beritajatimcom/status/1704384795789369415,Manulife
Wed Sep 20 02:10:52 +0000 2023,1704317171009241437,"Klien: Saya denger, ada asuransi kesehatan  diluar, yg cover Kanker hanya 5 tahun saja, gimana dgn Manulife?  Jawab: Asuransi kesehatan MiUltimate Healthcare Manulife,SEUMUR HIDUP nanggung Pengobatan Kanker baik rawat jalan maupun rawat inap.Sudah banyak BUKTI #pilih yg terbukti",0,0,0,0,in,765260294,1704317171009241437,OlaLRJ,https://twitter.com/OlaLRJ/status/1704317171009241437,Manulife
Tue Sep 19 05:42:04 +0000 2023,1704007932927672657,"Klien: Apakah rawat cuci darah karna Ginjal di cover seumur hidup?"" Karena aku denger ada asuransi yg cover Cuci darah dicover 5 tahun aja..  Jawab: Asuransi kesehatan Murni Miultimate Healtcare Manulife, Cover Cuci Darah SEUMUR HIDUP.""",0,0,0,0,in,765260294,1704007932927672657,OlaLRJ,https://twitter.com/OlaLRJ/status/1704007932927672657,Manulife
Fri Sep 15 07:11:07 +0000 2023,1702580789060448759,"If tomorrow never comes, engga ada penyesalan.. karena ada uang asuransi jiwa jadi bekal hidup keluarga yang ditinggal #manfaat asuransi jiwa #agen manulife https://t.co/rxRoDuO6c7",0,0,0,0,in,765260294,1702580789060448759,OlaLRJ,https://twitter.com/OlaLRJ/status/1702580789060448759,Manulife
Fri Sep 15 05:11:47 +0000 2023,1702550758460395662,Manulife Diakui Secara Dunia sebagai salah satu Perusahaan Asuransi Terpercaya.. https://t.co/PqfrGT7C7l,0,0,0,0,in,765260294,1702550758460395662,OlaLRJ,https://twitter.com/OlaLRJ/status/1702550758460395662,Manulife
Fri Sep 15 01:33:39 +0000 2023,1702495863984255457,Work! Ada yang pake asuransi Manulife di tempat kalian kerja ga ya? Mau nanyea-nanyea nich,0,1,0,0,in,1244597361826885636,1702495863984255457,worksfess,https://twitter.com/worksfess/status/1702495863984255457,Manulife
Wed Sep 13 00:57:29 +0000 2023,1701761985644503145,"@Yourgodmother13 Allianz makkkk Setelah ak mencoba berbagai asuransi mulai manulife, axa dan prudent yg paling ciamik sejauh ini cuman Allianz 🥹🥹🥹 Fast respon pula Jika mau nnt ak dm kontak agent yg ngelayanin aku",0,1,0,2,in,1191882374637703168,1701587116055200190,kimmymatcha,https://twitter.com/kimmymatcha/status/1701761985644503145,Manulife
Tue Sep 12 03:01:09 +0000 2023,1701430721007755611,"#Ekonomi #manulife #perusahaanasuransi #cpi #manulifebukakantor Alasan Perusahaan Asuransi Buka Kantor di CPI Makassar, Sudah 20 Ribu Nasabah di Sulsel: Ada beberapa isu terkait perusahaan asuransi yang kerap kali beredar di kalangan masyarakat. https://t.co/ZKoggPNvL4",0,0,0,0,in,123757780,1701430721007755611,terkinidotid,https://twitter.com/terkinidotid/status/1701430721007755611,Manulife
Tue Sep 12 01:35:11 +0000 2023,1701409087936930125,PT Manulife Aset Manajemen Indonesia (MAMI) menilai pasar saham di kawasan Asia Pasifik ex Jepang (Asia Pasifik tidak termasuk Jepang) memiliki potensi pertumbuhan yang menarik. https://t.co/MCUvptyq80,0,0,0,0,in,1450957656,1701409087936930125,Media_Asuransi,https://twitter.com/Media_Asuransi/status/1701409087936930125,Manulife
Mon Sep 11 08:54:33 +0000 2023,1701157268920971461,"#Ekonomi #Klaimnasabah #Manulifebukakantor #CPI #Manulife Bayar Klaim Nasabah Makassar Rp20 Miliar, Manulife Buka Kantor Baru di CPI: Perusahaan asuransi di Indonesia, Manulife Indonesia meresmikan kantor cabang di Ruko Center Point of Indonesia, Senin… https://t.co/Ot32dNO7z8",0,0,0,0,in,123757780,1701157268920971461,terkinidotid,https://twitter.com/terkinidotid/status/1701157268920971461,Manulife
Sun Sep 10 13:13:06 +0000 2023,1700859947469484211,"Pembayaran Rp19,2Juta Per 6 Bulan. Asuransi kesehatan Murni MiUltimate Healthcare Manulife.  BEST SELLER, karena udah TERBUKTI Claim lancar pembayarannya dan Proses Claim Mudah.Pilih Yang sudah Terbukti.. https://t.co/tgIAzqX710",0,0,0,0,in,765260294,1700859947469484211,OlaLRJ,https://twitter.com/OlaLRJ/status/1700859947469484211,Manulife
Sat Sep 09 01:46:54 +0000 2023,1700324869882392976,"Just Info,TIDAK SEMUA asuransi kesehatan cover Sakit Kanker Seumur hidup. Ada yg cover Kanker HANYA 5 tahun.jd TELITI isi buku polis.Spy asuransi yg kita pny beri KETENANGAN PARIPURNA.Kl Asuransi Kesehatan Miultimate Healthcare Manulife,SUDAH PASTI cover Kanker SEUMUR HIDUP.Jaga²",0,0,0,0,in,765260294,1700324868229824980,OlaLRJ,https://twitter.com/OlaLRJ/status/1700324869882392976,Manulife
Thu Sep 07 05:55:16 +0000 2023,1699662598537400802,"3. Kamar Rumah Sakit sering Full. jika kamar  VIP rumah sakit lagi Full maka Manulife memberikan fasilitas FREE Upgrade ke kamar diatas nya, TANPA BATASAN HARI. Klien tidak kena hitungan Prorate selama kamar sesuai asuransi masih full . Hanya Manulife yang punya Kebijakan ini",0,0,0,0,in,765260294,1699662593567359368,OlaLRJ,https://twitter.com/OlaLRJ/status/1699662598537400802,Manulife
Thu Sep 07 05:55:15 +0000 2023,1699662593567359368,"Antrian Pasien Kanker rame  kayak antri Sembako. Kenapa rumah Sakit selalu ramai, Full, ngalah²in Mall?  Apa kelebihan Asuransi Kesehatan Murni MIUltimate Healthcare Manulife? 1.Kamar ICU ,cover UNLIMITED (tidak ada batasan hari dalam setahun.",0,1,0,0,in,765260294,1699662593567359368,OlaLRJ,https://twitter.com/OlaLRJ/status/1699662593567359368,Manulife
Tue Sep 05 13:38:16 +0000 2023,1699054343247564956,"@Matcchalatte Saya pribadi dan keluarga buat asuransi kesehatan pakai AIA. Sekaligus jadi agennya. So far pengalaman klaim di keluarga sendiri maupun klien yg lain ga ada kendala berarti. Manulife atau Pru juga ok, layak dipertimbangkan. https://t.co/rfnzC49SKX",0,0,0,0,in,193596724,1699044830503211053,SemEinhart,https://twitter.com/SemEinhart/status/1699054343247564956,Manulife
Tue Sep 05 09:24:55 +0000 2023,1698990583728247169,"Produk Terbaru Manulife Saving Protector.  Fokus Tabungan. dengan benefit Perlindungan Asuransi buat Jaga Jaga. Masa Depan Financial Keluarga semakin TERJAMIN dan Aman. Yang Mau cek premi, yuk https://t.co/nibQ6nK7cA",0,0,0,0,in,765260294,1698990583728247169,OlaLRJ,https://twitter.com/OlaLRJ/status/1698990583728247169,Manulife
Tue Sep 05 03:05:28 +0000 2023,1698895093082783950,"Rada rada ya emang asuransi itu. Gw nabung dan beli asuransi dari Allianz, Manulife, Prudential, AIA, belasan taun banyakan keluar dananya daripada manfaatnya.   Sekali aja sih kepake operasi masuk RS, jadi I will keep health insurance aja skrg.",1,5,1,3,in,108877394,1698895093082783950,felinekeeper,https://twitter.com/felinekeeper/status/1698895093082783950,Manulife
Sun Sep 03 23:11:39 +0000 2023,1698473863577837680,"MAAF banget salah info... kalo manulife itu dari asuransi dharmala. Kalo bumi putera, punya adek aku jg ga cair sampe sekarang😭😭😭😭🙏🏻🙏🏻🙏🏻🙏🏻 MAAF BANGET SEKALI LAGI HUHUHU",0,0,0,0,in,1401963479066550297,1698473863577837680,diveintohae,https://twitter.com/diveintohae/status/1698473863577837680,Manulife
Sun Sep 03 10:13:27 +0000 2023,1698278023022411948,@Manulife_ID Apa nama produk asuransi yang dibahas pada siaran pers ini?  https://t.co/L5N5lXkik4  Di mana informasi detail mengenai produk tersebut dapat diakses?,0,0,0,0,in,97421043,1698278023022411948,ShinyPsyduck12,https://twitter.com/ShinyPsyduck12/status/1698278023022411948,Manulife
Sat Sep 02 04:44:11 +0000 2023,1697832769664254446,@OlaLRJ Halo ka saya mau tanya2 ttg asuransi manulife apakah bisa DM saya? Saya ga bisa DM soalnya makasihh,0,1,0,0,in,1010479261159809024,1696012587987775892,cherryaraa,https://twitter.com/cherryaraa/status/1697832769664254446,Manulife
Wed Aug 30 02:09:43 +0000 2023,1696706735749414931,Pembayaran uang asuransi 10Miliar ke istri dan anak² (ahli waris).  asuransi jiwa produk Manulife Essential https://t.co/q8iUEtl7eW BEST SELLER. Karena Proses Claim MUDAH. anti Ribet. https://t.co/82FtLc57uu,0,0,0,0,in,765260294,1696706735749414931,OlaLRJ,https://twitter.com/OlaLRJ/status/1696706735749414931,Manulife
Mon Aug 28 04:11:26 +0000 2023,1696012587987775892,"Pembayaran total Rp75Jutaan, asuransi kesehatan murni, MiUltimate Healthcare Manulife. Semakin banyak yg ter-edukasi, penting nya punya asuransi kesehatan pribadi. Buat Backup. Jaga jaga https://t.co/q8ZKSWjn3w",0,1,0,0,in,765260294,1696012587987775892,OlaLRJ,https://twitter.com/OlaLRJ/status/1696012587987775892,Manulife
Sat Aug 26 16:19:02 +0000 2023,1695470919962231244,"Sudah kesekian kali dpt trip dr @Manulife_Id   Kali ini kita ke negara #Singapore Pada trip kali ini, kita menghadari acara #MDRT Global Conference.   Acara ini dihadiri oleh seluruh member MDRT dr seluruh dunia &amp  dr seluruh perusahaan asuransi, salah 1 diantaranya adalah🤭 https://t.co/hNGYyO5Cwo",0,0,0,1,in,146299193,1695470919962231244,limrobbyyanto,https://twitter.com/limrobbyyanto/status/1695470919962231244,Manulife
Wed Aug 16 00:08:33 +0000 2023,1691602811023458572,Manulife dan Bank DBS Luncurkan Asuransi untuk Perencanaan Peninggalan Berharga https://t.co/ahUxC2OFd7,0,0,1,0,in,1318855369641263105,1691602811023458572,IDNTimesJateng,https://twitter.com/IDNTimesJateng/status/1691602811023458572,Manulife
Tue Aug 15 12:02:02 +0000 2023,1691419979747577857,"Manulife dan Bank DBS Luncurkan MiWISE, Solusi Perencanaan Legacy yang Fleksibel. 👇  Manulife Indonesia dan Bank DBS Indonesia telah mengenalkan MiWealth Infinite Assurance (MiWISE) sebagai solusi asuransi… #Ekbis #BankDBS #Manulife via @beritajatimcom https://t.co/auvmSH7qQ4",0,0,0,0,in,21287066,1691419979747577857,beritajatimcom,https://twitter.com/beritajatimcom/status/1691419979747577857,Manulife
Tue Aug 15 01:33:37 +0000 2023,1691261833024561152,"@Manulife_ID Min,mau tanya kenapa produk investasi yg ada di produk asuransi lama MVPA koq terbatas ya,tdk sebanyak yg di aplikasi MAMI?",0,0,0,0,in,80881180,1691261833024561152,dukeofwinstor,https://twitter.com/dukeofwinstor/status/1691261833024561152,Manulife
Mon Aug 14 12:06:07 +0000 2023,1691058616978284544,Bank DBS Indonesia dan Manulife Indonesia meluncurkan produk asuransi yang dirancang khusus bagi nasabah High Net Worth (HNW) alias tajir. https://t.co/49Lh8wAmPM,0,0,0,1,in,238091066,1691058616978284544,InvestorID,https://twitter.com/InvestorID/status/1691058616978284544,Manulife
Fri Aug 11 15:20:57 +0000 2023,1690020484929196032,Manulife Indonesia dan Adira Finance terus berkomitmen untuk mengembangkan pasar asuransi. Hal itu guna memenuhi berbagai kebutuhan masyarakat Indonesia. https://t.co/jSkz8h6pwx,0,0,0,1,in,135795460,1690020484929196032,detikfinance,https://twitter.com/detikfinance/status/1690020484929196032,Manulife
Fri Aug 11 08:22:27 +0000 2023,1689915166736130048,Produk Amandira (Asuransi Aman Bersama Adira Finance) besutan Manulife Indonesia dan Adira Dinamika Multi Finance telah menyedot ratusan ribu masyarakat menjadi pemegang polis. Selengkapnya https://t.co/S0miPHPVlm,0,0,0,0,in,1169861863426818048,1689915166736130048,theiconomic,https://twitter.com/theiconomic/status/1689915166736130048,Manulife
Thu Aug 10 11:16:56 +0000 2023,1689596689030770688,"@gomenacai @incitu Yang terkenal aja, allianz atau manulife, pru sama ax* banyak testimoni jelek. Ambil asuransi kesehatan murni, JANGAN UNIT LINK !! Dan ambil paket yang sekedar dapat kamar VIP aja, gk usah ngejar berobat keluar negeri, krn handicapnya banyak, dari premi yg jadi terlalu besar,",0,2,0,1,in,1362297335854731267,1689443591977041920,Concrete_buster,https://twitter.com/Concrete_buster/status/1689596689030770688,Manulife
Thu Aug 10 11:03:08 +0000 2023,1689593216272936960,"@staldustt @incitu Pake asuransi mbak, tapi yg perusahaan terkenal aja, allianz, manulife, dll, trus ambil yg asuransi kesehatan murni, JANGAN UNIT LINK !!, pilih paket yang sekedar dapat kamar VIP (satu bed), berobat2 ke luar negeri gk usah dipikirin, krn handicapnya banyak, kemungkinan juga",0,1,0,0,in,1362297335854731267,1689443591977041920,Concrete_buster,https://twitter.com/Concrete_buster/status/1689593216272936960,Manulife
Wed Aug 09 09:57:22 +0000 2023,1689214279084597248,"Celine Dion didiagnosis dengan Stiff Person Syndrom 'langka, 1 dari sejuta'  @Manulife_Id mempunyai #AsuransiPenyakitKritis dimana tertanggung claim/tdk claim,premi yg telah dibayarkan tdk hangus ( dikembalikan )   DM me for more info  #AsuransiManulife #Asuransi #AsuransiTerbaik https://t.co/sxDx3rfmsH",0,0,0,1,in,146299193,1689214279084597248,limrobbyyanto,https://twitter.com/limrobbyyanto/status/1689214279084597248,Manulife
Wed Aug 09 03:29:35 +0000 2023,1689116690377007104,"Suatu hari ada orang yang merasa di tipu telemarketing asuransi  🤬: ASUransi... itu penipu si axa,allianz,prudential,msig,manulife,generali penipuu telemarketing telepon gajelas tapi tiba2 atm gua di debet &amp  polis nyampe di rumah  😊: Waktu di jelasin lu jawabnya gimana?…",1,0,2,5,in,1350533526,1689116690377007104,filcadet,https://twitter.com/filcadet/status/1689116690377007104,Manulife
Tue Aug 08 14:12:27 +0000 2023,1688916084785848320,"Operasi Katarak, biaya 30Juta. full ditanggung langsung pakai kartu Cashless Halodoc Manulife. klien pake Asuransi kesehatan murni Miultimate Healthcare. Bebas pilih Rumah Sakit Terbagus dimana saja. Edukasi penting nya punya asuransi kesehatan pribadi. Cover seumur hidup https://t.co/7UIJULFFq2",0,0,0,0,in,765260294,1688916084785848320,OlaLRJ,https://twitter.com/OlaLRJ/status/1688916084785848320,Manulife
Mon Aug 07 02:38:41 +0000 2023,1688379105056849921,"Adalah agen asuransi disini? Aku mau tanya2 dong, bebas boleh allianz, manulife, prudential dll ku butuh infoo, maaciii",0,9,0,2,in,1434789996129521667,1688379105056849921,culpabl3s,https://twitter.com/culpabl3s/status/1688379105056849921,Manulife
Thu Aug 03 12:17:39 +0000 2023,1687075252541759489,"@belindch Numpang promo ya dok, asuransi kesehatan murni non unitlink dari manulife, bs ditambah perawatan gigi maupun rawat jalan tanpa opname 👋👋 https://t.co/mTzMG7T25H",0,0,0,1,in,4538153886,1687072414986125312,andrywirautama,https://twitter.com/andrywirautama/status/1687075252541759489,Manulife
Wed Aug 02 15:02:02 +0000 2023,1686754232752648192,"@Manulife_ID selamat malam izin bertanya, apakah asuransi individu manulife bisa cover biaya persalinan? terimakasih",0,1,0,0,in,1031531785,1686754232752648192,merakitsendu,https://twitter.com/merakitsendu/status/1686754232752648192,Manulife
Tue Aug 01 12:40:12 +0000 2023,1686356152320409600,Ada agent asuransi manulife gak disini? Mau tanya2 tentang asuransi manulife,0,1,2,0,in,1027432382415028224,1686356152320409600,redbeean,https://twitter.com/redbeean/status/1686356152320409600,Manulife
Tue Aug 01 00:49:08 +0000 2023,1686177209147441152,"Klaim Asuransi Manulife, Adakah Solusinya? | CC @Manulife_ID https://t.co/ngVTzk9uer",0,0,0,0,in,1117529034,1686177209147441152,MediaKonsumenID,https://twitter.com/MediaKonsumenID/status/1686177209147441152,Manulife
Wed Jul 26 11:26:18 +0000 2023,1684163226827919360,"klien Cidera Bahu, jatuh karena olahraga Sepedaan. Biaya operasi Rp132 Juta full ditanggung langsung pakai kartu cashless Halodoc Manulife. Asuransi kesehatan murni MiUltimate Healthcare. Bebas pilih Rumah Sakit Terbagus. Tanpa antri, tanpa mikir lama #edukasiasuransi https://t.co/obqAT55b3A",0,1,0,0,in,765260294,1684163226827919360,OlaLRJ,https://twitter.com/OlaLRJ/status/1684163226827919360,Manulife
Mon Jul 24 13:03:21 +0000 2023,1683462876919627776,"@SemEinhart @Manulife_ID Iya mas Daniel, setelah beberapa bulan idle dalam pencarian asuransi kemarin baru dikasih tau sama HR katanya kantor kasih benefit dari Manulife ☺️",0,1,0,0,in,1548096724501413888,1683449324821446658,ghlosten,https://twitter.com/ghlosten/status/1683462876919627776,Manulife
