created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,Produk
Sat Sep 23 06:36:14 +0000 2023,1705471113474777207,"@filcadet @kurawa @DitjenPajakRI @prastow Betul, tapi emang penghasilannya gede sih kalau pintar cari nasabah. Saya tahu karena lihat sendiri dari salah satu agen asuransi top prudential. Mas kenal sama pak Boboy? saya pernah diajak beliau main di kantor pusat Prudential wkwkw",0,0,0,0,in,1004722663296626689,1705151520961085457,zaialamm,https://twitter.com/zaialamm/status/1705471113474777207,Prudential
Sat Sep 23 02:35:00 +0000 2023,1705410405022175258,"@tuteh_ Halo perkenalkan aku Filip Fulltime agent dari Prudential  Mungkin izin share soal history claim nasabah2 aku ya, semoga membantu https://t.co/RsZV6Sv952",0,0,0,0,in,1350533526,1705226110588555711,filcadet,https://twitter.com/filcadet/status/1705410405022175258,Prudential
Fri Sep 22 14:22:40 +0000 2023,1705226110588555711,Ada yg pernah pake asuransi kesehatan allianz/prudential? Share dongsss,0,5,0,1,in,2959703083,1705226110588555711,tuteh_,https://twitter.com/tuteh_/status/1705226110588555711,Prudential
Fri Sep 22 13:21:37 +0000 2023,1705210744936218827,Faktanya sudah lebih dari 3 bulan pengaduan pada Asuransi Prudential yg prosesnya berhenti pada titik mediasi LAPS tanpa ada kelanjutannya  @ojkindonesia  #JumatBerkah #AsianGames2023  My Mister Daddy Alam Ganjar Min Yoongi Gina Jamal Le Minerale  https://t.co/FUMW68EKMw,0,0,0,0,in,1028997916906516480,1705210744936218827,sli1968,https://twitter.com/sli1968/status/1705210744936218827,Prudential
Fri Sep 22 05:09:36 +0000 2023,1705086922706780492,"List RS yang masuk Pru Priority Hospitals uda mulai banyak.  Ga gampang untuk minta RS bisa share Buku Tarif"" tapi kalau semuanya jadi reimburse, pasti nasabah akan cari RS yang masih bisa cashless.  Respect buat Rumah Sakit yang bisa kerja sama soal claim dengan Prudential…""",0,0,0,3,in,1350533526,1705086922706780492,filcadet,https://twitter.com/filcadet/status/1705086922706780492,Prudential
Tue Sep 19 10:07:30 +0000 2023,1704074731060896022,"@tanyakanrl Gak terlalu paham, yang gua tau itu nama perusahaannya Prudential dan itu asuransi kesehatan, bukan pinjol. Mungkin ortu/kamu pernah didaftarin asuransi, coba aja tanya customer service nya",0,0,0,0,in,571374986,1704069071711736247,haiakuleva,https://twitter.com/haiakuleva/status/1704074731060896022,Prudential
Mon Sep 18 05:34:20 +0000 2023,1703643598124949780,"Impactnya akan banyak RS yang rekanan menjadi tidak rekanan  Check to your agent, mau perusahaannya Allianz, AIA, Generalli, Prudential, Panin sama aja  Tapi karena Prudential uda mulai, perusahaan lain tinggal follow  Semuanya akan lebih baik buat nasabah tapi memang prosesnya…",0,1,2,1,in,1350533526,1703637840826085717,filcadet,https://twitter.com/filcadet/status/1703643598124949780,Prudential
Fri Sep 15 02:17:31 +0000 2023,1702506902369026141,"For Every Life, For Every Future CEO Prudential Ungkapkan Strategi Baru Perusahaan  Klik link di bio untuk baca selengkapnya  #beritainn #prudential #asuransi #insurence https://t.co/XrW5kmgnDA",0,0,0,0,in,1481855799995809793,1702506902369026141,beritainn,https://twitter.com/beritainn/status/1702506902369026141,Prudential
Thu Sep 14 16:48:36 +0000 2023,1702363730435252619,@Bisniscom ralat: Prudential spin-off 2022 ya (1 tahun lalu),0,0,0,0,in,1350533526,1702359359458861424,filcadet,https://twitter.com/filcadet/status/1702363730435252619,Prudential
Thu Sep 14 16:31:14 +0000 2023,1702359359458861424,"Pasar Asuransi Syariah bakal semakin menarik ya, di liat sejak Prudential spin off"" di 2 tahun lalu &amp  sekarang mulai beberapa Asuransi lain ikut untuk ""spin off""  di lansir dari @Bisniscom masih di beri kesempatan buat semua perusahaan yang mau memisahkan unit syariahnya sampai… https://t.co/54QqWfRIw1""",0,2,2,3,in,1350533526,1702359359458861424,filcadet,https://twitter.com/filcadet/status/1702359359458861424,Prudential
Thu Sep 14 15:09:27 +0000 2023,1702338778118111683,"@Seladaaair Halo Kak Selda Perkenalkan nama ku Filip, fulltime agen dari Prudential  Ada yang bisa di bantu untuk kebutuhan asuransinya? Jika butuh bukti servicing saya boleh lihat disini ya Thank you https://t.co/RsZV6Sv952",0,0,0,0,in,1350533526,1701803516946509978,filcadet,https://twitter.com/filcadet/status/1702338778118111683,Prudential
Tue Sep 12 16:43:01 +0000 2023,1701637552032342205,"@tanyarlfes iya der asuransi cover pengobatan bill nya buat buat estetila kecantikan paling kalo operasi karna alasan rekonstruksi aja buat alasan kecantikan, setau ku gak ada sih asuransi yg cover iti, cmiiw  btw aku pake prudential utk kesehatan udh full cover der""",0,0,0,0,in,1589346502090326016,1701636258852921399,sycalyann,https://twitter.com/sycalyann/status/1701637552032342205,Prudential
