created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 08 17:47:01 +0000 2023;1711075739116953709;"@tanyakanrl Saran: jgn tanya, selama kebutuhanmu tercukupi, memenuhi baik secara materiil maupun immateriil &amp  km tahu dia capable  to be A husband, maka Tanyakan saja apakah dia punya financial planning &amp  asuransi yg tepat utk ke depannya? Pastikan posisimu.Sisanya, keep in ur mind.";0;1;0;0;in;1351392854766043137;1711067693967937635;kaiaviolet;https://twitter.com/kaiaviolet/status/1711075739116953709
Sun Oct 08 17:27:29 +0000 2023;1711070824768410085;"@Micinsoleha Kak turut sedih buat sakitnya, kalau boleh saran jangan ke alternatif kak takutnya malah jadi lebih sakit lagi. Sebelumnya kakaknya ada asuransi kesehatan nggak? Coba pilih rs yang dokternya lebih kompeten aja kak😭";0;1;0;1;in;1607764632399405057;1711068345972511180;jinnieshe;https://twitter.com/jinnieshe/status/1711070824768410085
Sun Oct 08 12:10:58 +0000 2023;1710991170036502860;"@hanmula Neh saran, klo ada yg ngomong asuransi+investasi sambil bilang klo nanti setelah 10thn bebas bayar trus nunjukkin kertas hasil investasi yang ada, suruh ttd+materai di kertas itu mintain ttd dari agen-atasan nya, karena hasil investasi yg di tunjukkin itu hanya ilustrasi.";0;1;0;1;in;1155123866018041856;1708711174358069413;ErickFernandoW;https://twitter.com/ErickFernandoW/status/1710991170036502860
Sun Oct 08 06:18:38 +0000 2023;1710902503313985804;"🤔beli X Premium atau increase followers dlu ya biar yg teredukasi makin banyak hmm butuh saran nih";0;0;0;0;in;1490626555403399168;1710902503313985804;AgenAsuransimu;https://twitter.com/AgenAsuransimu/status/1710902503313985804
Sun Oct 08 06:09:35 +0000 2023;1710900227232976982;"@nadira33 Tapi kalau ga ambil manfaat tambahan itu in case rawat jalan nya berhubungan sama rawat inap itu di cover juga, walau emng ada beberapa asuransi yang rawat jalan di cover tanpa harus rawat inap tapi saran aku better untuk rajal pake BPJS, ranap pake swasta";0;0;0;0;in;1490626555403399168;1710881876293108126;AgenAsuransimu;https://twitter.com/AgenAsuransimu/status/1710900227232976982
Fri Oct 06 11:56:48 +0000 2023;1710262829700579425;"@tanyakanrl Itu asuransi barang kan y? Bukan yg asuransi pengiriman? Saran ku sih pake semua asuransi aja. Karena klo zonk lebih susah komplain tanpa asuransi nya";0;0;0;0;in;1523422138556108800;1710262386022879313;cid_mogaga;https://twitter.com/cid_mogaga/status/1710262829700579425
Thu Oct 05 18:06:34 +0000 2023;1709993498420855032;"@lowlokey Hallo kak ijin nimbrung ya, jadi bisa aja tapi masa tunggu otomatis start 0hari alias ngulang tapi saran aku liat situasi pada saat kakak mau aktifin lgi, apakah masih worth it atau better ambil yg sesuai dengan jaman nya.   Feel free untuk DM &amp  follow aku😄";0;0;0;1;in;1490626555403399168;1709775050008854652;AgenAsuransimu;https://twitter.com/AgenAsuransimu/status/1709993498420855032
Wed Oct 04 01:22:03 +0000 2023;1709378312907247715;"@tanyarlfes Pernah, udah 5 kali lebih. Saran aku sih beli di toko resmi walaupun lebih mahal. Kedua jangan pelit soal asuransi. Terakhir dokumentasiin unboxingnya dengan lengkap sampai kamu yakin semua fungsi dan aksesorisnya sesuai.";0;0;0;0;in;1675245716;1709371827292865013;GoodByeeFelicia;https://twitter.com/GoodByeeFelicia/status/1709378312907247715
Tue Oct 03 14:35:30 +0000 2023;1709215605029740885;"@fitrub @kembarannyabora @nocturnalcutie @insecuristy Tbh untuk asuransi sendiri belum cover untuk berhubungan dengan kehamilan  Saran aku akan lebih baik di aktifin BPJSnya &amp  nabung buat jaga2";0;1;0;0;in;1350533526;1709128108002152899;filcadet;https://twitter.com/filcadet/status/1709215605029740885
Tue Oct 03 02:04:59 +0000 2023;1709026732806910404;"@tanyarlfes Kalo deket sih saran aku pake ojol terus pilih mode shipper jadi di boxnya ga akan tertera nama barang dan total pembelanjaan jangan lupa pake asuransi juga. Untuk mencegah hal-hal yang tidak diinginkan";0;0;0;0;in;1603085570669887488;1708743110841557466;PipikuGembul;https://twitter.com/PipikuGembul/status/1709026732806910404
Mon Oct 02 13:51:00 +0000 2023;1708842019702100271;"@Intaniaonlyone @ybsmee @AsahPolaPikir Bagus sih mbanya punya asuransi, tp saran aja review polis ulang, pelajari baik2 manfaatnya. Takutnya bakalan kecewa kalau kurang paham hehehe";0;1;0;0;in;320750638;1708500533177450577;Ferpedik;https://twitter.com/Ferpedik/status/1708842019702100271
Mon Oct 02 11:04:53 +0000 2023;1708800211701936236;"-dips! saran ekspedisi yg cepet &amp  aman buat kirim dokumen apa ya? yg ada asuransi nya juga kalo bisa. makasii 🙌🙌";0;3;0;0;in;1177052356925513728;1708800211701936236;undipmenfess;https://twitter.com/undipmenfess/status/1708800211701936236
Mon Oct 02 01:46:47 +0000 2023;1708659762316161274;"@MuhadklyAcho Terjadi di hmpr semua perusahaan asuransi. Disebabkan bbrp faktor stlh pandemi : over claim &amp  fraud. Saran sy jgn smp lepas Black Card nya kak. Skrg sdh sulit bs dpt BC, byk calon nasabah baru decline. Paling tdk utk nasabah lama msh bs cashless. Investigasinya ketat skrg..";0;0;1;0;in;57650839;1708365782424670561;retnokartikas;https://twitter.com/retnokartikas/status/1708659762316161274
Sat Sep 30 05:30:34 +0000 2023;1707991305954132264;"@Yourgodmother13 Setau aku bisa request deh ke bagian admin untuk kamar nya turunin atau naikan soalnya butuh persetujuan dari pihak keluarga.   Sedikit saran aja coba buat punya asuransi ataupun BPJS biar ga terulang, lumayan 4jt melayang";0;0;0;0;in;1490626555403399168;1707932573035556965;AgenAsuransimu;https://twitter.com/AgenAsuransimu/status/1707991305954132264
Thu Sep 28 18:38:47 +0000 2023;1707464890271859157;"@hannafauzia kesehatan, jiwa atau harta benda pau? aku mungkin bisa kasi saran soalnya 4 taun kerja di asuransi mulu 😮‍💨";0;1;0;0;in;97591570;1707406623587844145;messmallow_;https://twitter.com/messmallow_/status/1707464890271859157
Tue Sep 26 04:57:14 +0000 2023;1706533362884833660;"Saran gw nih ya ini daftar nomor orgil dimasukkin ke web buat detect nomor jelek kayak seller asuransi. Di getcontact kan gak bisa";0;0;0;0;in;1017478661413326848;1706533362884833660;ranacuy;https://twitter.com/ranacuy/status/1706533362884833660
Mon Sep 25 09:42:52 +0000 2023;1706242858192355395;"Kalau kamu berkeyakinan bahwa utang bank dan asuransi yang menanggung debitur itu nggak boleh, ya saran-saran ini bukan buatmu 👍🏼";0;1;0;0;in;100408831;1706242845890453912;hidayahsunar;https://twitter.com/hidayahsunar/status/1706242858192355395
Mon Sep 25 09:26:43 +0000 2023;1706238795274977499;"@VicichuArt Ga pakai bpjs/asuransi kah? Kemarin bgt kebetulan papaku operasi di cover bpjs semua lumayan bgt.  Tapi semoga orgtua kamu cepet pulih dan kekumpul uangnya ya. Semangat donothonnya! Saran juga sekalian open urgent commision biar cepet penuh target goalsnya!🙏";0;2;0;5;in;1507394222600892419;1706196195335430154;crosalinebell;https://twitter.com/crosalinebell/status/1706238795274977499
Sat Sep 23 16:22:21 +0000 2023;1705618614794240174;"@acmilan7779 @Aiek_Speechless Semoga bisa cepat selesai mas 🙏. Coba cari kerjaan extra yang bisa menghasilkan uang cepat.  Biasanya di bidang sales lepas. Property bisa jadi opsi. Produk keuangan juga bisa (equity, asuransi).  Hanya saran. Teman kantor saya berhasil lunasin pinjol setelah kerja lepas soalnya";0;1;0;0;in;1565296345627660288;1703975979730026730;VictorPutra22;https://twitter.com/VictorPutra22/status/1705618614794240174
Fri Sep 22 16:36:28 +0000 2023;1705259782381150242;"@hannajoe20 @kurawa @DitjenPajakRI @prastow sekedar saran sih ya mbak, kalo mau pilih &amp  ambil suatu produk asuransi, entah itu asuransi jiwa atau asuransi kesehatan mending pelajari dulu scr seksama, dan kalo bs mending cari agent yg memang kenal dekat, temen misalnya atau saudara";0;0;0;0;in;1626089917255405568;1705151520961085457;al1eeff;https://twitter.com/al1eeff/status/1705259782381150242
