created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,Produk
Sun Oct 08 07:48:22 +0000 2023,1710925083513102544,Akhir2 ini lagi naik daun asuransi sinarmas ya.. Asuransi kesehatannya bisa sampai ke negara asean https://t.co/lRmdGDV85C,0,0,0,0,in,79399145,1710925083513102544,DavidYordan777,https://twitter.com/DavidYordan777/status/1710925083513102544,Sinarmas
Fri Oct 06 09:42:51 +0000 2023,1710229121778036828,"Segenap jajaran Komisaris, Direksi, serta karyawan PT Asuransi Sinar Mas mengucapkan Happy Anniversary yang ke 8 tahun kepada PT Asuransi Simas Jiwa.  PT Asuransi Sinar Mas berizin dan diawasi oleh Otoritas Jasa Keuangan.  #8TahunSimasJiwa #AsuransiSinarMas #BikinJadiAman https://t.co/lEmnrG9UG9",0,0,0,0,in,945754298,1710229121778036828,as_sinarmas,https://twitter.com/as_sinarmas/status/1710229121778036828,Sinarmas
Thu Oct 05 03:08:52 +0000 2023,1709767582751089150,"Dirgahayu ke-78 Tentara Nasional Indonesia, garda terdepan dan benteng terakhir bangsa.  PT Asuransi Sinar Mas berizin dan diawasi oleh Otoritas Jasa Keuangan.  #AsuransiSinarMas #HariTNI #BikinJadiAman #BertumbuhBersama #MajuBersama",0,0,0,0,in,945754298,1709767580154773967,as_sinarmas,https://twitter.com/as_sinarmas/status/1709767582751089150,Sinarmas
Thu Oct 05 03:08:51 +0000 2023,1709767580154773967,Perjuangan bangsa Indonesia tak lepas dari kehadiran Tentara Nasional Indonesia (TNI). Terima kasih para Tentara Indonesia yang telah membantu dalam melakukan tugasnya untuk mempertahankan kedaulatan RI. https://t.co/KHuVG2AxSh,0,1,0,0,in,945754298,1709767580154773967,as_sinarmas,https://twitter.com/as_sinarmas/status/1709767580154773967,Sinarmas
Wed Oct 04 06:57:46 +0000 2023,1709462801918619874,"@isnapsky Selamat pagi Bpk/Ibu 6ira,      Perihal permintaan Bpk/Ibu bisa menghubungi tim 24 Hours Customer Care kami melalui   Whatsapp : 021 80600691   Telp : 021 235 67 888      Tim Customer Service kami (Jam dan hari kerja)  Telp : 021 2918 9999      Terima kasih",0,0,0,0,in,945754298,1709456374969856435,as_sinarmas,https://twitter.com/as_sinarmas/status/1709462801918619874,Sinarmas
Tue Oct 03 10:21:51 +0000 2023,1709151770625380838,"asuransi. Tidak hanya diberikan edukasi keuangan saja, Asuransi Sinar Mas juga turut memberikan 1.000 asuransi gratis berupa Simas Mikro kepada para peserta literasi keuangan tersebut.  PT Asuransi Sinar Mas berizin dan diawasi oleh Otoritas Jasa Keuangan.",0,1,0,0,in,945754298,1709151766141620676,as_sinarmas,https://twitter.com/as_sinarmas/status/1709151770625380838,Sinarmas
Tue Oct 03 10:21:50 +0000 2023,1709151768712810800,"Kegiatan literasi ini diikuti oleh 1.000 peserta yang merupakan mahasiswa/i di Universitas Jambi, kegiatan diadakan di Balairung Universitas Jambi (UNJA).  Materi yang diberikan berupa pengenalan OJK serta waspada investasi dan pinjaman online ilegal serta pengenalan mengenai",0,1,0,0,in,945754298,1709151766141620676,as_sinarmas,https://twitter.com/as_sinarmas/status/1709151768712810800,Sinarmas
Tue Oct 03 10:21:50 +0000 2023,1709151766141620676,"Jambi, 26 September 2023 - PT Asuransi Sinar Mas berkolaborasi dengan Otoritas Jasa Keuangan (OJK) cabang Jambi memberikan kegiatan literasi keuangan bagi mahasiswa/i dalam acara Pelaksanaan Kegiatan Edukasi Finansial Kepada Mahasiswa”. https://t.co/eWbSJdESg4""",0,1,0,1,in,945754298,1709151766141620676,as_sinarmas,https://twitter.com/as_sinarmas/status/1709151766141620676,Sinarmas
Tue Oct 03 08:52:21 +0000 2023,1709129247368085781,"Segenap jajaran Komisaris, Direksi, serta karyawan PT Asuransi Sinar Mas mengucapkan Happy Anniversary yang ke 101 tahun Bapak Eka Tjipta Widjaja.  PT Asuransi Sinar Mas berizin dan diawasi oleh Otoritas Jasa Keuangan.  #101EkaTjiptaWidjaja #AsuransiSinarMas #BertumbuhBersama",0,0,0,0,in,945754298,1709129243966517514,as_sinarmas,https://twitter.com/as_sinarmas/status/1709129247368085781,Sinarmas
Tue Oct 03 08:52:20 +0000 2023,1709129243966517514,"Hari ini founding father Sinar Mas, Bapak Eka Tjipta Widjaja genap berusia 101 tahun. Selain kisah #PantangMenyerah dalam hidupnya yang inspiratif, ada banyak nasihat yang bisa kita teladani. https://t.co/9w5o8IJnDp",0,1,0,0,in,945754298,1709129243966517514,as_sinarmas,https://twitter.com/as_sinarmas/status/1709129243966517514,Sinarmas
