created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Sep 28 03:25:01 +0000 2023;1707234931565535575;"@tanyarlfes Tiap rs beda beda sih nder. Tapi kadang emg antrian bpjs sama umum dibedain, bahkan ada pula antrian asuransi swasta.";0;0;0;0;in;1334544187648184320;1706842029421154501;eldessmyflower;https://twitter.com/eldessmyflower/status/1707234931565535575
Wed Sep 27 20:58:05 +0000 2023;1707137558717874553;"@worksfess Krn di beberapa kerjaanku yg lain ada yg gapake bpjs, tapi pake asuransi swasta sih. Hehe. Menurutku os gadisaranin buat dijadikan pekerjaan tetap, lu harus nyari kerjaan lain yg lebih manusiawi. Pinter2 aja nyari os yg ngasih gaji tinggi dan jam kerja enak wkwk";0;0;0;0;in;967801966494597123;1706942187928469975;leonatantomo;https://twitter.com/leonatantomo/status/1707137558717874553
Wed Sep 27 15:27:12 +0000 2023;1707054289154404845;"@tanyarlfes Kalau di rs mitrakel , dibedain nder poli bpjs dan poli eksekutif. Yg bpjs emang antrianny membludak. Yg eksekutif biasanya bayar pribadi atau pakai asuransi swasta itu antriannya nggak banyak. Jadi lebih cepet.";0;0;0;0;in;2925223328;1706842029421154501;vanillarinapr;https://twitter.com/vanillarinapr/status/1707054289154404845
Wed Sep 27 14:53:14 +0000 2023;1707045741234143668;"Heh. Gausah ngomong "seolah2" itu kan yg lo tangkap di kepala lo. Sedangkan gue ngomongin pengalaman &amp  preferensi pribadi. Nyokap gue sampe 2 minggu di ICU masih dipikir NGIKLANIN asuransi swasta? Sehat lo????";0;0;10;44;in;40879822;1707045741234143668;selphieusagi;https://twitter.com/selphieusagi/status/1707045741234143668
Wed Sep 27 14:35:28 +0000 2023;1707041267912478742;"@selphieusagi @niaanoviaa Mbak, silahkan ngiklanin asuransi swasta tapi gak usah dengan kalimat seolah2 BPJS itu gak bisa dipakai untuk tindakan darurat dan kalo perlu urgent pake BPJS itu harus nunggu.";2;14;0;1;in;22548819;1706713897301164456;DhaniAnggara;https://twitter.com/DhaniAnggara/status/1707041267912478742
Wed Sep 27 13:18:08 +0000 2023;1707021809424699811;"@bayuwcs @FomoIndonesia Keterangannya insurance dpt. Bs jadi asuransi keshatan swasta. Nah jgn2 pajak, bpjs, suruh bayar sendiri...";0;1;0;0;in;1470741842635284481;1706880169259286791;uni_asik;https://twitter.com/uni_asik/status/1707021809424699811
Wed Sep 27 13:06:35 +0000 2023;1707018899366293933;"Hal yg membangongkan adalah aku bayar asuransi kesehatan swasta yg mahal tapi gk bisa dipake berobat jalan. Alias mahal bener obatnya kalau mandiri begini, bpjs antrinya bukan main 😭😭";0;1;0;0;in;377359914;1707018899366293933;rrssnnss;https://twitter.com/rrssnnss/status/1707018899366293933
Wed Sep 27 12:27:31 +0000 2023;1707009070522323104;"@tanyarlfes Setahu saya di rumah sakit, sistem ticketing antrian di bedakan 3 kategori, BPJS, Jaminan/Asuransi Swasta dan Pribadi/Cash dengan kode antrian yang berbeda satu sama lain. Antrian bayar pribadi kadang lebih sedikit dibanding yang 2 antrian lainnya.";0;0;0;0;in;481003032;1706842029421154501;wandamochramdan;https://twitter.com/wandamochramdan/status/1707009070522323104
Wed Sep 27 10:44:42 +0000 2023;1706983195143811523;"@huehue1812503 @worksfess Penasaran aja, bukannya pasti dpt asuransi swasta yg bagus ya? kok bs duit abis buat berobat? Apa separah itu smp melebihi yg di cover asuransi?";0;2;0;0;in;1229055378471522309;1706969598866907327;KangHogoo;https://twitter.com/KangHogoo/status/1706983195143811523
Wed Sep 27 10:05:25 +0000 2023;1706973307810328920;"@tanyarlfes Tergantung rsnya, selama ak rawat jalan antrian bpjs, asuransi swasta, sama umum itu biasanya suka dipisah. Bagian farmasinnya juga, terus siapa tau tadi dia cabut dlu baru balik lg kesitu? Aku juga biasanya suka gtu, cabut dlu jajan atau muter2 trus balik lg ke poli";0;0;0;0;in;1683524339633905664;1706842029421154501;__longbaobao;https://twitter.com/__longbaobao/status/1706973307810328920
