created_at,username,full_text,Produk
Sun Oct 08 07:48:22 +0000 2023,Fitri,"Posisi istri saya sebagai nasabah Allianz pada saat itu baru menginjak usia 5 bulan,itu yang membuat saya khawatir takut biaya rumah sakit tidak akan dicover oleh pihak Allianz dikarenakan baru bergabung dengan Allianz Indonesia selama 5 bulan, tapi semua kekhawatiran saya lenyap begitu dari pihak Allianz menelpon saya, memberikan informasi yang begitu luar biasa. Semua biaya rumah sakit istri saya dicover oleh pihak Allianz dan bahkan di luar ekpektasi saya, semua biaya pengobatan, makan penunggu pasien (saya), biaya IGD, itu semua sudah ditanggung oleh pihak Allianz .",Allianz
Fri Oct 06 09:42:51 +0000 2023,PutraRizki,"Selama ini saya memang tidak memantau nilai transaksi saya, saya hanya membayar iuran saja, dan kadang meminta laporan dan itu juga tidak rutin. Dengan kemudahan transaksi dan pemantauan melalui Allianz eAZy Connect, keinginan saya untuk menghentikan keanggotaan menjadi nasabah Allianz telah hilang. Sekarang saya bisa memantau transaksi saya dengan mudah melalui Allianz eAZy Connect, serta tetap mendapatkan proteksi dari Allianz.",Allianz
Thu Oct 05 03:08:52 +0000 2023,MeilaniEka,"Proses klaim pre dan post opname cepat dan langsung ditransfer ke rekening yang didaftarkan. Saya sangat puas dengan semua layanan Allianz. Layanannya sangat cepat dan mementingkan kenyamanan nasabah. Semoga Allianz tetap selalu memberikan pelayanan yang terbaik, serta memberikan bukti dan bukan hanya janji.",Allianz
Thu Oct 05 03:08:51 +0000 2023,Mochamad_NurH,"Akhir tahun lalu, saya didiagnosa oleh dokter terkena penyakit kanker lidah. Saya hubungi agent saya, Erika, menceritakan kondisi yang saya alami, dan menanyakan apakah Allianz mengcover penyakit saya (karena di polis saya terdapat klausul penyakit kritis). Erika langsung mengatur pertemuan dengan saya dan meminta beberapa berkas dari Rumah Sakit dan meminta saya mengisi beberapa formulir dan ditandatangani dan dia bilang akan di submit ke kantor dalam beberapa hari. ",Allianz
Wed Oct 04 06:57:46 +0000 2023,Dita_Primawati,"Terima kasih Allianz, bukan cuma masalah proteksi yang ditawarkan tetapi dengan adanya Allianz Smart Point membuat waktuku terasa lebih berharga.",Allianz
Tue Oct 03 10:21:51 +0000 2023,DediLim,"Layanan Allianz eAZy Connect mempermudah klaim asuransi saya. Pada bulan Juni 2021, saya Positif Covid-19 dan harus melakukan isolasi mandiri dirumah. Kemudian saya mengajukan klaim asuransi melalui Allianz eAZy Connect. Setelah itu, saya mendapat email bahwa pembayaran uang klaim saya telah ditransfer ke rekening saya.Dengan layanan Allianz eAZy Connect sangat mempermudah dalam memantau asuransi Allianz mulai dari claim dan pembayaran.",Allianz
Tue Oct 03 10:21:50 +0000 2023,YennyFitri,"Layanan agen Allianz yang saya rasakan sangat bagus dalam membantu saya. Bulan lalu saya berniat untuk membuat polis asuransi jiwa baru di Allianz. Saat ini saya sudah memiliki 2 polis di Allianz. Saya hubungi agent saya namanya Jojor Rotua Sitompul untuk dibantu membuat  polis baru. Namun seiring proses ini, saya mendengar dan membaca berita terkait asuransi jiwa yang berbentuk unit link yang sedang banyak masalah terlebih berkaitan dengan regulator OJK. Langsung saya tanya-tanya mendalam dan menghubungi beliau untuk mencari lebih dalam tentang isu ini dan dengan sigap dan wawasan yang menurut saya luas untuk masalah ini, menjelaskan lebih detail dan cermat apa yang dimaksud dengan asuransi jiwa unit link ini.Saya yang tadinya hanya mengetahui sedikit informasi tentang produk unit link menjadi terbuka dengan produk ini. Saya mengucapkan terima kasih untuk Allianz melalui agent nya Jojor, yang dengan tulus dan tanpa syarat mau menjelaskan dengan detail produk unit link ini. Sehingga saya sebagai pihak awam mendapat wawasan dan keterbukaan mengenai produk asuransi unit link ini.",Allianz
Tue Oct 03 10:21:50 +0000 2023,MichelleNandita,"Pelayanan rumah sakit yang saya dapatkan luar biasa baik, saya dirawat selama 1 minggu, prosesnya cepat, dan sungguh 100% cashless. Saya tidak dikenakan biaya sedikitpun, cukup dengan kartu Allianz. Tagihan Rp 45.900.000 dibayar lunas oleh Allianz tanpa harus saya mengeluarkan uang sedikitpun. Tidak terbayang jika saya tidak memiliki asuransi kesehatan. Proses mudah dan tidak khawatir lagi jika jatuh sakit.",Allianz
Tue Oct 03 08:52:21 +0000 2023,AdeRidwan,"Allianz menurut saya, polis asuransi yang terbaik hingga di saat pandemi ini. Ini terbukti dari layanan informasi-informasi yang sangat dimengerti nasabah. Saya adalah seorang guru honorer dan saya sudah menjadi nasabah Allianz dari tahun 2015. Allianz menjadi pilihan saya dimasa sebelum & saat pandemi dan hingga saat ini saya masih mempercayakan klaim asuransi saya pada Allianz.",Allianz
Tue Oct 03 08:52:20 +0000 2023,Laura Yosephine,"Berhubung saya sebagai pemegang beberapa polis asuransi jiwa Allianz, jadi saya sangat puas dengan benefit yang diberikan Allianz.",Allianz
Tue Oct 03 07:02:40 +0000 2023,Sonisiswono,"Asuransi AIA bentuk ikhtiar aku untuk masa depan , sekaligus bentuk investasi kesehatan agar tidak khawatir lagi deh mengenai biaya rumah sakit",AIA
Tue Oct 03 07:02:40 +0000 2023,"aslam_ska",bank bca bekerjasama dengan asuransi aia yg merugikan nasabah bca Kami memohon kepada pihak Bank BCA putuskan kerjasama kpd pihak AIA_Asuransi Pihak aia lepas tanggung jawab Tolong bantu kami rakyat,AIA
