created_at,full_text,username,Produk
2023-09-25 06:06:11+00:00,   jt per tahun sist bukan kantor sih jatuh nya dr asuransi aia bpjs juga ada tapi jumlah lebih kecil lupa besarannya brpa nggk pernah pakai soalnya kalo dr kantor sndiri ngk ada kak ,Ditanyadia,AIA
2023-09-22 14:15:41+00:00, mohon klarifikasi dr pihak asuransi adakami pinjol onlineloan loans cartel fraud cc ,MuhTaufikRahmat,AIA
2023-09-22 06:47:25+00:00, buka link tautan melalui web browser posisi life planner agen asuransi perusahaan pt aia financial lokasi kota bogor daftar dan apply cv  t co nalwnqrmm fyptiktokindonesia  t co pvqvrhoub,ayusukaijo,AIA
2023-09-22 06:44:36+00:00, buka link tautan melalui web browser posisi life planner agen asuransi perusahaan pt aia financial lokasi kota bogor daftar dan apply cv  t co ylunvnrg lokerbogor bogordaily  t co gqcaoaqbev,u2brosist,AIA
2023-09-21 09:11:43+00:00, aia aia indonesia asuransi unit link  tips self healing untuk menjaga kesehatan mental product bagaimana produk unit link terus tumbuh khususnya di masa pandemi yuk simak apa kata prita ghozi mengenai peningkatan kepercayaan terhadap produk ini  t co ztnwuttiv,fiona99351131,AIA
2023-09-21 02:46:55+00:00, halo bang maaf nimbrung boleh saya dm terkait pembatalan polis aia saya minggu kemarin ngeiyain asuransi aia dan polisnya barusan dikirim ke email itu masih bisa dibatalin ga ya bang soalnya rek saya juga belum di debet ,fiayeee,AIA
2023-09-18 06:33:09+00:00, aia aia indonesia asuransi unit link  tips self healing untuk menjaga kesehatan mental product bagaimana produk unit link terus tumbuh khususnya di masa pandemi yuk simak apa kata prita ghozi mengenai peningkatan kepercayaan terhadap produk ini  t co znxnangsm,vivian89043067,AIA
2023-09-18 05:34:20+00:00,impactnya akan banyak rs yang rekanan menjadi tidak rekanan check to your agent mau perusahaannya allianz aia generalli prudential panin sama aja tapi karena prudential uda mulai perusahaan lain tinggal follow semuanya akan lebih baik buat nasabah tapi memang prosesnya ,filcadet,AIA
2023-09-16 06:39:30+00:00, mohon maaf atas ketidaknyamanannya nomor tersebut terdaftar sebagai program untuk penjualan penawaran asuransi aia melalui telemarketing ya bapak ibu pelanggan tks achel,HaloBCA,AIA
2023-09-15 05:57:49+00:00, aia aia indonesia asuransi unit link aia amani bagaimana produk unit link terus tumbuh khususnya di masa pandemi yuk simak apa kata prita ghozi mengenai peningkatan kepercayaan terhadap produk ini  t co zqciwkes,vivian89043067,AIA
