singkatan,kata_asli
tdk,tidak
yg,yang
ga,tidak
gak,tidak
tp,tapi
d,di
sy,saya
&,dan
dgn,dengan
utk,untuk
gk,tidak
jd,jadi
jg,juga
dr,dari
krn,karena
aja,saja
karna,karena
udah,sudah
kmr,kamar
g,tidak
dpt,dapat
banget,sekali
bgt,sekali
kalo,kalau
n,dan
bs,bisa
oke,ok
dg,dengan
pake,pakai
sampe,sampai
dapet,dapat
ad,ada
lg,lagi
bikin,buat
tak,tidak
ny,nya
ngga,tidak
nunggu,tunggu
klo,kalau
blm,belum
trus,terus
kayak,seperti
dlm,dalam
udh,sudah
tau,tahu
org,orang
hrs,harus
msh,masih
sm,sama
byk,banyak
krg,kurang
kmar,kamar
spt,seperti
pdhl,padahal
chek,cek
pesen,pesan
kran,keran
gitu,begitu
tpi,tapi
lbh,lebih
tmpt,tempat
dikasi,dikasih
serem,seram
sya,saya
jgn,jangan
dri,dari
dtg,datang
gada,tidak ada
standart,standar
mlm,malam
k,ke
kl,kalau
sgt,sangat
y,ya
krna,karena
tgl,tanggal
terimakasih,terima kasih
kecoak,kecoa
pd,pada
tdr,tidur
jdi,jadi
kyk,seperti
sdh,sudah
ama,sama
gmana,bagaimana
dalem,dalam
tanyak,tanya
taru,taruh
gede,besar
kaya,seperti
access,akses
tetep,tetap
mgkin,mungkin
sower,shower
idup,hidup
nyaaa,nya
baikk,baik
hanay,hanya
tlp,telpon
kluarga,keluarga
jln,jalan
hr,hari
ngak,tidak
bli,beli
naro,taruh
bkin,buat
mls,malas
byr,bayar
ajh,saja
ajj,saja
akoh,aku
amaca,ah masa
amuh,kamu
aph,apa
apose,apa
apz,apa
aq,saya
baryaw,sabar ya
baryw,sabar ya
bryaw,sabar ya
bryw,sabar ya
bay,selamat tinggal
besoq,besok
beud,banget
bhay,selamat tinggal
bisya,bisa
biza,bisa
bntr,sebentar
bokap,ayah
bkap,ayah
bkp,ayah
bokaps,ayah
bokapz,ayah
bs,bisa
bsa,bisa
bsk,besok
bsoq,besok
bte,bosan
bozen,bosan
bozn,bosan
bzn,bosan
bzen,bosan
cabut,pergi
caiank,sayang
cekola,sekolah
cekolah,sekolah
celalaw,selalu
celalu,selalu
cemungudh,semangat
cemungut,semangat
cemunguth,semangat
cibuq,sibuk
cini,sini
ciyus,serius
cll,selalu
cllu,selalu
cllw,selalu
cpe,capek
cpee,capek
cewe,cewek
cwe,cewek
cowo,cowok
cwo,cowok
dah,sudah
dapa,ada apa
dapah,ada apa
dftr,daftar
dh,sudah
dimance,dimana
dimandose,dimana
dimans,dimana
duluw,dulu
ea,ya
emg,memang
eteb,bosan
g,tidak
ga,tidak
gabut,menganggur
gak,tidak
gakz,tidak
gatau,tidak tahu
gataw,tidak tahu
gengges,ganggu
ghiy,lagi
gi,lagi
gk,tidak
gpp,tidak apa apa
gtw,tidak tahu
gue,saya
gw,saya
gx,tidak
hums,rumah
humz,rumah
huum,iya
iy,iya
iyach,iya
iyap,iya
iyapz,iya
iyup,iya
iyupz,iya
iz,iya
iza,iya
izza,iya
jamber,jam berapa
jd,jadi
jdi,jadi
jg,juga
jga,juga
jgn,jangan
jngan,jangan
jngn,jangan
kacian,kasihan
kaka,kakak
kau,kamu
keles,kali
kenapah,kenapa
kenaps,kenapa
kenapz,kenapa
kepo,ingin tahu
keyen,keren
khan,kan
khanz,kan
kk,kakak
klo,kalau
klw,kalau
km,kamu
kmrn,kemarin
kmu,kamu
knp,kenapa
koq,kok
kpan,kapan
kpn,kapan
kuq,kok
kuy,ayo
kw,kamu
kzl,kesal
lam,salam
leh,boleh
lo,kamu
loe,kamu
lom,belum
low,kalau
lp,lupa
lu,kamu
luchu,lucu
lum,belum
lun,belum
luthu,lucu
lw,kamu
maacih,terima kasih
maap,maaf
mager,malas bergerak
makaci,terima kasih
maw,mau
miapa,demi apa
miapah,demi apa
misal'a,misalnya
muup,maaf
mu'uv,maaf
mw,mau
nak,anak
naq,anak
nax,anak
nda,tidak
ndak,tidak
ndax,tidak
ngabungin,menggabungkan
ngajak,mengajak
ngerokok,merokok
ngga,tidak
nggak,tidak
nggax,tidak
nggesek,menggesek
nggosok,menggosok
ngibul,berbohong
nyokap,ibu
nykap,ibu
nykaps,ibu
nykapz,ibu
nykp,ibu
nich,ini
nntn,menonton
ntn,menonton
oc,oke
oce,oke
ohh,oh
ok,oke
okedech,oke
okedeh,oke
okeh,oke
okz,oke
org,orang
ouch,oh
ouh,oh
owh,oh
pasutri,pasangan suami istri
paz,pas
pengen,ingin
pengin,ingin
pgn,ingin
psti,pasti
pzt,pasti
q,saya
qaqa,kakak
qq,kakak
rmh,rumah
sabeb,bebas
sabi,bisa
salfok,salah fokus
saltum,salah kostum
sdh,sudah
selaw,santai
selow,santai
shap,siap
shaps,siap
syipp,sip
syp,siapa
tau,tahu
tauk,tahu
tdk,tidak
telp,telepon
tgl,tanggal
thx,terima kasih
tipi,televisi
tp,tapi
tq,terima kasih
trims,terima kasih
trimz,terima kasih
tuch,itu
tw,tahu
u,kamu
u,kamu
udah,sudah
udd,sudah
udh,sudah
uga,juga
von,telepon
w,saya
wad,buat
wat,buat
yank,sayang
yap,ya
yaw,ya
yoi,iya
yups,ya
yupz,ya
jt,juta
dr,dari
dm,pesan
yg,yang
rb,ribu
dpt,dapat
utk,untuk
rs,rumah sakit
